"SMILES","EXTERNALID","N","NAME","NAME","INTRODUCER","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","Ionizable centre (smiles)","IC group given","Temperature","UNIT {Temperature}","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","pKa predicted value","UNIT {pKa predicted value}","IC smiles given","COMMENTS","CASRN"
"CC1(C)S[C@@H]2[C@H](NC(=O)COC3=CC=CC=C3)C(=O)N2[C@@H]1C(O)=O","-","25","Phenoxymethylpenicillin","-","Koerner","A3183","-","466","6","2.79","Log unit","O=C(O)C1N2C(SC1(C)C)C(C2=O)NC(=O)COc1ccccc1","aliph. carboxylic acid","","-","","","-","","-","","-","87-08-1"
"CC(=O)OC1=C(C=CC=C1)C(O)=O","-","4","Acetylsalicylic acid","-","Koerner","A3183","-","465","5","3.49","Log unit","O=C(O)c1c(O=C(O)C)cccc1","benzoic acid (ortho subs.)","25.0","?C","","","-","","-","","-","50-78-2"
"CC(C)(O)C(O)=O","-","74","A-HYDROXY-I-BUTYRIC ACID","-","Koerner","A3183","-","467","6","3.61","Log unit","O=C(O)C(O)(C)C","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","594-61-6"
"OC(=O)CCCCC1=CC=CC=C1","-","111","5-PHENYLPENTANOIC ACID","-","Koerner","A3183","-","468","6","4.88","Log unit","O=C(O)CCCCc1ccccc1","aliph. carboxylic acid","20.0","?C","","","-","","-","","-","2270-20-4"
"OC(=O)CC1=CC=C(Cl)C=C1","-","105","P-CHLOROPHENYLACETIC ACID","-","Koerner","A3183","-","468","6","4.19","Log unit","O=C(O)Cc1ccc(Cl)cc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1878-66-6"
"OC(=O)COC1=C(F)C=CC=C1","-","57","o-Fluorophenoxyacetic acid","-","Koerner","A3183","-","467","6","3.08","Log unit","O=C(O)COc1c(F)cccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","348-10-7"
"COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O","-","2","Indomethacin","-","Koerner","A3183","-","466","6","4.5","Log unit","O=C(O)Cc1c2c(n(C(=O)c3ccc(Cl)cc3)c1C)ccc(c2)OC","aliph. carboxylic acid","","-","","","-","","-","","-","53-86-1"
"OC(=O)C1=C(I)C=CC=C1","-","12","2-IODOBENZOIC ACID","-","Koerner","A3183","-","465","5","2.93","Log unit","O=C(O)c1c(I)cccc1","benzoic acid (ortho subs.)","20.0","?C","","","-","","-","","-","88-67-5"
"COC1=CC2=C(C=C1)C=C(C=C2)[C@@H](C)C(O)=O","-","127","naprosyn","-","Koerner","A3183","-","468","6","4.15","Log unit","O=C(O)C(c1cc2c(cc(OC)cc2)cc1)C","aliph. carboxylic acid","","-","","","-","","-","","-","22204-53-1"
"OC(=O)COC1=CC=CC(Br)=C1","-","89","m-Bromophenoxyacetic acid","-","Koerner","A3183","-","467","6","3.09","Log unit","O=C(O)COc1cc(Br)ccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1798-99-8"
"OC(=O)CS","-","8","Mercaptoacetic acid","-","Koerner","A3183","-","466","6","3.55","Log unit","O=C(O)CS","aliph. carboxylic acid","","-","","","-","","-","","-","68-11-1"
"OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1","-","118","Diclofenac","-","Koerner","A3183","-","468","6","4.15","Log unit","O=C(O)Cc1c(Nc2c(Cl)cccc2Cl)cccc1","aliph. carboxylic acid","","-","","","-","","-","","-","15307-86-5"
"OC(=O)C1=CC(I)=CC(I)=C1O","-","28","3,5-diiodosalicylic acid","-","Koerner","A3183","-","465","5","2.299","Log unit","O=C(O)c1c(c(I)cc(c1)I)O","benzoic acid (ortho subs.)","25.0","?C","","","-","","-","","-","133-91-5"
"C[C@H](C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1","-","125","Ketoprofen","-","Koerner","A3183","-","468","6","4.45","Log unit","O=C(O)C(C)c1cc(ccc1)C(=O)c1ccccc1","aliph. carboxylic acid","","-","","","-","","-","","-","22071-15-4"
"OC(=O)COC1=CC(F)=CC=C1","-","59","m-Fluorophenoxyacetic acid","-","Koerner","A3183","-","467","6","3.13","Log unit","O=C(O)COc1cc(F)ccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","404-98-8"
"CCCC(O)=O","-","42","butyric acid","-","Koerner","A3183","-","467","6","4.82","Log unit","O=C(O)CCC","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","107-92-6"
"CC(C)CCC(O)=O","-","84","4-METHYLPENTANOIC ACID","-","Koerner","A3183","-","467","6","4.84","Log unit","O=C(O)CCC(C)C","aliph. carboxylic acid","18.0","?C","","","-","","-","","-","646-07-1"
"CCOC1=C(C=CC(N)=C1)C(O)=O","-","7","2-Ethoxy-4-aminobenzoic acid","-","Koerner","A3183","-","465","5","5.09","Log unit","O=C(O)c1c(cc(N)cc1)OCC","benzoic acid (ortho subs.)","","-","","","-","","-","","-","59-07-4"
"OC(=O)CC1=CC=C(I)C=C1","-","91","p-Iodophenylacetic acid","-","Koerner","A3183","-","467","6","4.18","Log unit","O=C(O)Cc1ccc(I)cc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1798-06-7"
"OC(=O)COC1=CC=CC(I)=C1","-","96","m-Iodophenoxyacetic acid","-","Koerner","A3183","-","467","6","3.13","Log unit","O=C(O)COc1cc(I)ccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1878-93-9"
"OC(=O)CCl","-","18","chloroacetic acid","-","Koerner","A3183","-","466","6","2.866","Log unit","O=C(O)CCl","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","79-11-8"
"CC(C)CC(O)=O","-","66","ISOVALERIC ACID","-","Koerner","A3183","-","467","6","4.77","Log unit","O=C(O)CC(C)C","aliph. carboxylic acid","20.0","?C","","","-","","-","","-","503-74-2"
"CC1=CC=C(CC(O)=O)C=C1","-","83","p-Methylphenylacetic acid","-","Koerner","A3183","-","467","6","4.37","Log unit","O=C(O)Cc1ccc(cc1)C","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","622-47-9"
"CC(C)CC1=CC=C(C=C1)[C@@H](C)C(O)=O","-","119","Ibuprofen","-","Koerner","A3183","-","468","6","4.45","Log unit","O=C(O)C(c1ccc(CC(C)C)cc1)C","aliph. carboxylic acid","","-","","","-","","-","","-","15687-27-1"
"NC1=CC=C(C=C1)C(=O)NCC(O)=O","-","3","N-(4-AMINOBENZOYL)-GLYCINE","-","Koerner","A3183","-","466","6","3.8","Log unit","O=C(O)CNC(=O)c1ccc(cc1)N","aliph. carboxylic acid","","-","","","-","","-","","-","61-78-9"
"NC1=C(Cl)C(=CC(Cl)=C1)C(O)=O","-","29","3-Amino-2,5-dichlorobenzoic acid","-","Koerner","A3183","-","465","5","3.4","Log unit","O=C(O)c1c(Cl)c(cc(c1)Cl)N","benzoic acid (ortho subs.)","","-","","","-","","-","","-","133-90-4"
"OC(=O)CN1C(=O)SC2=CC=CC(Cl)=C12","-","113","benazolin","-","Koerner","A3183","-","468","6","3.04","Log unit","O=C(O)Cn1c2c(Cl)cccc2sc1=O","aliph. carboxylic acid","","-","","","-","","-","","-","3813-05-6"
"CC1=CC=CC(NC2=C(C=CC=C2)C(O)=O)=C1C","-","8","mefenamic acid","-","Koerner","A3183","-","465","5","4.2","Log unit","O=C(O)c1c(Nc2c(c(ccc2)C)C)cccc1","benzoic acid (ortho subs.)","","-","","","-","","-","","-","61-68-7"
"OC(=O)C1=C(O)C=CC(Br)=C1","-","16","5-Bromosalicylic acid","-","Koerner","A3183","-","465","5","2.66","Log unit","O=C(O)c1c(O)ccc(Br)c1","benzoic acid (ortho subs.)","25.0","?C","","","-","","-","","-","89-55-4"
"COC1=C(OCC(O)=O)C=CC=C1","-","101","O-METHOXY PHENOXYACETIC ACID","-","Koerner","A3183","-","468","6","3.23","Log unit","O=C(O)COc1c(cccc1)OC","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1878-85-9"
"OC(=O)C1=C(Cl)C=CC=C1","-","24","2-Chlorobenzoic Acid","-","Koerner","A3183","-","465","5","2.89","Log unit","O=C(O)c1c(Cl)cccc1","benzoic acid (ortho subs.)","25.0","?C","","","-","","-","","-","118-91-2"
"COC1=C(C=CC=C1)C(O)=O","-","37","o-Methoxybenzoic Acid","-","Koerner","A3183","-","465","5","3.9","Log unit","O=C(O)c1c(OC)cccc1","benzoic acid (ortho subs.)","25.0","?C","","","-","","-","","-","579-75-9"
"CC(C)(C)C(O)=O","-","10","2,2-Dimethyl propanoic acid","-","Koerner","A3183","-","466","6","5.031","Log unit","O=C(O)C(C)(C)C","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","75-98-9"
"COC1=C(Cl)C=CC(Cl)=C1C(O)=O","-","45","dicamba","-","Koerner","A3183","-","465","5","1.97","Log unit","O=C(O)c1c(c(Cl)ccc1Cl)OC","benzoic acid (ortho subs.)","","-","","","-","","-","","-","1918-00-9"
"C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O","-","14","gibberellic acid","-","Koerner","A3183","-","466","6","4.0","Log unit","O=C(O)C1C2[C@@]3(O=C(O)[C@@]2(C(C=C3)O)C)C2[C@@]31C[C@@](CC2)(C(=C)C3)O","aliph. carboxylic acid","","-","","","-","","-","","-","77-06-5"
"OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl","-","53","Chlorambucil","-","Koerner","A3183","-","467","6","5.75","Log unit","O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1","aliph. carboxylic acid","","-","","","-","","-","","-","305-03-3"
"OC(=O)CBr","-","20","Bromoacetic Acid","-","Koerner","A3183","-","466","6","2.89","Log unit","O=C(O)CBr","aliph. carboxylic acid","20.0","?C","","","-","","-","","-","79-08-3"
"OC(=O)CCI","-","50","3-IODOPROPIONIC ACID","-","Koerner","A3183","-","467","6","4.09","Log unit","O=C(O)CCI","aliph. carboxylic acid","18.0","?C","","","-","","-","","-","141-76-4"
"CC(C)C(O)=O","-","16","isobutyric acid","-","Koerner","A3183","-","466","6","4.84","Log unit","O=C(O)C(C)C","aliph. carboxylic acid","20.0","?C","","","-","","-","","-","79-31-2"
"OC(=O)COC1=CC=CC=C1","-","47","phenoxyacetic acid","-","Koerner","A3183","-","467","6","3.17","Log unit","O=C(O)COc1ccccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","122-59-8"
"OC(=O)COC1=C(O)C=CC=C1","-","115","o-Hydroxyphenoxyacetic acid","-","Koerner","A3183","-","468","6","3.02","Log unit","O=C(O)COc1c(cccc1)O","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","6324-11-4"
"OC(=O)CC1=CC=C(F)C=C1","-","61","p-Fluorophenylacetic acid","-","Koerner","A3183","-","467","6","4.24","Log unit","O=C(O)Cc1ccc(F)cc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","405-50-5"
"OC(=O)CC1=CC=CC(I)=C1","-","103","m-Iodophenylacetic acid","-","Koerner","A3183","-","468","6","4.16","Log unit","O=C(O)Cc1cc(I)ccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1878-69-9"
"CCCC(CCC)C(O)=O","-","36","Valproic acid","-","Koerner","A3183","-","467","6","4.6","Log unit","O=C(O)C(CCC)CCC","aliph. carboxylic acid","","-","","","-","","-","","-","99-66-1"
"COC1=CC=C(CC(O)=O)C=C1","-","40","p-Methoxyphenylacetic acid","-","Koerner","A3183","-","467","6","4.36","Log unit","O=C(O)Cc1ccc(OC)cc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","104-01-8"
"OC(=O)C1CCCCC1","-","35","cyclohexanecarboxylic acid","-","Koerner","A3183","-","466","6","4.9","Log unit","O=C(O)C1CCCCC1","aliph. carboxylic acid","","-","","","-","","-","","-","98-89-5"
"OC(=O)CCCC1=CC=CC=C1","-","92","4-Phenylbutyric acid","-","Koerner","A3183","-","467","6","4.76","Log unit","O=C(O)CCCc1ccccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1821-12-1"
"OC(=O)CC(O)=O","-","49","malonic acid","-","Koerner","A3183","-","467","6","2.85","Log unit","O=C(O)CC(=O)O","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","141-82-2"
"OC(=O)COC1=C(Cl)C=CC=C1","-","80","o-Chlorophenoxyacetic acid","-","Koerner","A3183","-","467","6","3.05","Log unit","O=C(O)COc1c(Cl)cccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","614-61-9"
"CC(C)(C(O)=O)C(O)=O","-","75","DIMETHYLMALONIC ACID","-","Koerner","A3183","-","467","6","3.15","Log unit","O=C(O)C(C)(C)C(=O)O","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","595-46-0"
"OC(=O)COC1=C(Cl)C=C(Cl)C=C1","-","32","2,4-Dichlorophenoxyacetic acid","-","Koerner","A3183","-","466","6","2.73","Log unit","O=C(O)COc1c(Cl)cc(cc1)Cl","aliph. carboxylic acid","","-","","","-","","-","","-","94-75-7"
"OC(=O)COC1=C(I)C=CC=C1","-","97","o-Iodophenoxyacetic acid","-","Koerner","A3183","-","467","6","3.17","Log unit","O=C(O)COc1c(I)cccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1878-92-8"
"CCC(CC)C(O)=O","-","26","2-ethylbutyric acid","-","Koerner","A3183","-","466","6","4.71","Log unit","O=C(O)C(CC)CC","aliph. carboxylic acid","20.0","?C","","","-","","-","","-","88-09-5"
"OC(=O)[C@@H]1CCN2C1=CC=C2C(=O)C1=CC=CC=C1","-","140","Ketorolac","-","Koerner","A3183","-","468","6","3.49","Log unit","O=C(O)C1c2n(c(cc2)C(=O)c2ccccc2)CC1","aliph. carboxylic acid","","-","","","-","","-","","-","74103-06-3"
"OC(=O)C1=C(OC2=CC=CC=C2)C=CC=C1","-","46","o-Phenoxybenzoic acid","-","Koerner","A3183","-","465","5","3.53","Log unit","O=C(O)c1c(Oc2ccccc2)cccc1","benzoic acid (ortho subs.)","","-","","","-","","-","","-","2243-42-7"
"OC(=O)C1=C(O)C=CC(=C1)[N+]([O-])=O","-","21","5-Nitrosalicylic acid","-","Koerner","A3183","-","465","5","2.12","Log unit","O=C(O)c1cc([N+](=O)[O-])ccc1O","benzoic acid (ortho subs.)","25.0","?C","","","-","","-","","-","96-97-9"
"OC(=O)CC1=CC=CC2=C1C=CC=C2","-","23","NAPHTHALENEACETIC ACID","-","Koerner","A3183","-","466","6","4.23","Log unit","O=C(O)Cc1c2c(ccc1)cccc2","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","86-87-3"
"OC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1","-","44","diphenylacetic acid","-","Koerner","A3183","-","467","6","3.94","Log unit","O=C(O)C(c1ccccc1)c1ccccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","117-34-0"
"OC(=O)CCCl","-","41","3-CHLOROPROPIONIC ACID","-","Koerner","A3183","-","467","6","3.99","Log unit","O=C(O)CCCl","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","107-94-8"
"CC1=C(OCC(O)=O)C=CC=C1","-","107","o-Methylphenoxyacetic acid","-","Koerner","A3183","-","468","6","3.23","Log unit","O=C(O)COc1c(cccc1)C","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1878-49-5"
"OC(=O)CC1=CC=C(Br)C=C1","-","104","p-Bromophenylacetic acid","-","Koerner","A3183","-","468","6","4.19","Log unit","O=C(O)Cc1ccc(Br)cc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1878-68-8"
"CC(=O)NC1=C(C=CC=C1)C(O)=O","-","17","N-ACETYL O-AMINOBENZOIC ACID","-","Koerner","A3183","-","465","5","3.4","Log unit","O=C(O)c1c(NC(=O)C)cccc1","benzoic acid (ortho subs.)","","-","","","-","","-","","-","89-52-1"
"CC(O)=O","-","7","acetic acid","-","Koerner","A3183","-","466","6","4.76","Log unit","O=C(O)C","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","64-19-7"
"OC(=O)CC1=C(Cl)C=CC(Cl)=C1Cl","-","22","Fenac","-","Koerner","A3183","-","466","6","3.7","Log unit","O=C(O)Cc1c(Cl)c(ccc1Cl)Cl","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","85-34-7"
"OC(=O)COC1=NC(Cl)=C(Cl)C=C1Cl","-","135","TRICLOPYR","-","Koerner","A3183","-","468","6","2.68","Log unit","O=C(O)COc1nc(Cl)c(cc1Cl)Cl","aliph. carboxylic acid","","-","","","-","","-","","-","55335-06-3"
"OC(=O)COC1=CC=C(I)C=C1","-","95","p-Iodophenoxyacetic acid","-","Koerner","A3183","-","467","6","3.16","Log unit","O=C(O)COc1ccc(I)cc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1878-94-0"
"NC1=C(C=CC=C1)C(O)=O","-","23","2-aminobenzoic acid","-","Koerner","A3183","-","465","5","4.95","Log unit","O=C(O)c1c(N)cccc1","benzoic acid (ortho subs.)","","-","","","-","","-","","-","118-92-3"
"OC(=O)CC1=CNC2=C1C=CC=C2","-","24","indole-3-acetic acid","-","Koerner","A3183","-","466","6","4.75","Log unit","O=C(O)Cc1c2c([nH]c1)cccc2","aliph. carboxylic acid","","-","","","-","","-","","-","87-51-4"
"CC1=CC=C(OCC(O)=O)C=C1","-","86","p-Methylphenoxyacetic acid","-","Koerner","A3183","-","467","6","3.21","Log unit","O=C(O)COc1ccc(cc1)C","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","940-64-7"
"OC(=O)C1=C(C=CC=C1)[N+]([O-])=O","-","35","2-NITROBENZOIC ACID","-","Koerner","A3183","-","465","5","2.17","Log unit","O=C(O)c1c([N+](=O)[O-])cccc1","benzoic acid (ortho subs.)","20.0","?C","","","-","","-","","-","552-16-9"
"OC(=O)COC1=CC(Cl)=C(Cl)C=C1Cl","-","28","2,4,5-trichlorophenoxyacetic acid","-","Koerner","A3183","-","466","6","2.833","Log unit","O=C(O)COc1cc(c(Cl)cc1Cl)Cl","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","93-76-5"
"OC(=O)COC1=CC(Cl)=C(Cl)C=C1","-","73","3,4-Dichlorophenoxyacetic acid","-","Koerner","A3183","-","467","6","2.92","Log unit","O=C(O)COc1ccc(c(Cl)c1)Cl","aliph. carboxylic acid","20.0","?C","","","-","","-","","-","588-22-7"
"OC(=O)COC1=CC=C(Cl)C=C1","-","46","p-Chlorophenoxyacetic acid","-","Koerner","A3183","-","467","6","3.1","Log unit","O=C(O)COc1ccc(Cl)cc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","122-88-3"
"OC(=O)COC1=CC=C(Br)C=C1","-","98","p-Bromophenoxyacetic acid","-","Koerner","A3183","-","468","6","3.13","Log unit","O=C(O)COc1ccc(Br)cc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1878-91-7"
"OC(=O)C1=C(O)C=C(O)C=C1","-","14","2,4-Dihydroxybenzoic Acid","-","Koerner","A3183","-","465","5","3.11","Log unit","O=C(O)c1c(O)cc(cc1)O","benzoic acid (ortho subs.)","25.0","?C","","","-","","-","","-","89-86-1"
"OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1","-","11","benzilic acid","-","Koerner","A3183","-","466","6","3.05","Log unit","O=C(O)C(O)(c1ccccc1)c1ccccc1","aliph. carboxylic acid","18.0","?C","","","-","","-","","-","76-93-7"
"OC(=O)COC1=CC=CC(=C1)C#N","-","108","m-Cyanophenoxyacetic acid","-","Koerner","A3183","-","468","6","3.03","Log unit","O=C(O)COc1cc(C#N)ccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1879-58-9"
"CC1=CC=CC(OCC(O)=O)=C1","-","87","m-Methylphenoxyacetic acid","-","Koerner","A3183","-","467","6","3.2","Log unit","O=C(O)COc1cc(ccc1)C","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1643-15-8"
"OC(=O)CC1=CC=CC(Cl)=C1","-","106","m-Chlorophenylacetic acid","-","Koerner","A3183","-","468","6","4.14","Log unit","O=C(O)Cc1cc(Cl)ccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1878-65-5"
"CC1=C(OCC(O)=O)C=CC(Cl)=C1","-","33","2-METHYL-4-CHLOROPHENOXYACETIC ACID","-","Koerner","A3183","-","466","6","3.13","Log unit","O=C(O)COc1c(cc(Cl)cc1)C","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","94-74-6"
"OC(=O)CC1=CC=CC=C1","-","38","phenylacetic acid","-","Koerner","A3183","-","467","6","4.31","Log unit","O=C(O)Cc1ccccc1","aliph. carboxylic acid","","-","","","-","","-","","-","103-82-2"
"NC1=CC(O)=C(C=C1)C(O)=O","-","9","P-AMINOSALICYLIC ACID","-","Koerner","A3183","-","465","5","3.66","Log unit","O=C(O)c1c(cc(N)cc1)O","benzoic acid (ortho subs.)","25.0","?C","","","-","","-","","-","65-49-6"
"OC(=O)CC1=CC=CC(=C1)[N+]([O-])=O","-","94","m-Nitrophenylacetic acid","-","Koerner","A3183","-","467","6","3.97","Log unit","O=C(O)Cc1cc([N+](=O)[O-])ccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1877-73-2"
"OC(=O)C1=C(O)C=CC(O)=C1","-","34","2,5-Dihydroxybenzoic acid","-","Koerner","A3183","-","465","5","2.951","Log unit","O=C(O)c1c(O)ccc(c1)O","benzoic acid (ortho subs.)","25.0","?C","","","-","","-","","-","490-79-9"
"CCC(O)=O","-","19","Propionic Acid","-","Koerner","A3183","-","466","6","4.875","Log unit","O=C(O)CC","aliph. carboxylic acid","","-","","","-","","-","","-","79-09-4"
"OC(=O)CCC1=CC=CC=C1","-","65","BETA-PHENYLPROPIONIC ACID","-","Koerner","A3183","-","467","6","4.66","Log unit","O=C(O)CCc1ccccc1","aliph. carboxylic acid","18.0","?C","","","-","","-","","-","501-52-0"
"OC(=O)COC1=CC=CC(Cl)=C1","-","72","m-Chlorophenoxyacetic acid","-","Koerner","A3183","-","467","6","3.07","Log unit","O=C(O)COc1cc(Cl)ccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","588-32-9"
"OC(=O)CC1=CC=C(C=C1)[N+]([O-])=O","-","39","p-nitrophenylacetic acid","-","Koerner","A3183","-","467","6","3.85","Log unit","O=C(O)Cc1ccc([N+](=O)[O-])cc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","104-03-0"
"OC(=O)CC1=CC=CC(F)=C1","-","56","m-Fluorophenylacetic acid","-","Koerner","A3183","-","467","6","4.13","Log unit","O=C(O)Cc1cc(F)ccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","331-25-9"
"OC(=O)C1=C(O)C=CC=C1","-","10","Salicylic acid","-","Koerner","A3183","-","465","5","2.97","Log unit","O=C(O)c1c(O)cccc1","benzoic acid (ortho subs.)","","-","","","-","","-","","-","69-72-7"
"OC(=O)CCCOC1=C(Cl)C=C(Cl)C=C1","-","30","4-(2,4-DICHLOROPHENOXY)BUTYRIC ACID","-","Koerner","A3183","-","466","6","4.95","Log unit","O=C(O)CCCOc1c(Cl)cc(cc1)Cl","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","94-82-6"
"C[C@@H](N(C(=O)C1=CC=CC=C1)C1=CC(Cl)=C(F)C=C1)C(O)=O","-","137","Flamprop","-","Koerner","A3183","-","468","6","3.72","Log unit","O=C(O)C(N(c1cc(Cl)c(F)cc1)C(=O)c1ccccc1)C","aliph. carboxylic acid","20.0","?C","","","-","","-","","-","58667-63-3"
"C[C@H](OC1=CC=C(OC2=NC=C(C=C2)C(F)(F)F)C=C1)C(O)=O","-","138","Fluazifop","-","Koerner","A3183","-","468","6","3.12","Log unit","O=C(O)C(Oc1ccc(Oc2ncc(C(F)(F)F)cc2)cc1)C","aliph. carboxylic acid","20.0","?C","","","-","","-","","-","69335-91-7"
"OC(=O)COC1=CC=C(F)C=C1","-","60","p-Fluorophenoxyacetic acid","-","Koerner","A3183","-","467","6","3.13","Log unit","O=C(O)COc1ccc(F)cc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","405-79-8"
"OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1","-","130","Fenbufen","-","Koerner","A3183","-","468","6","4.51","Log unit","O=C(O)CCC(=O)c1ccc(cc1)c1ccccc1","aliph. carboxylic acid","","-","","","-","","-","","-","36330-85-5"
