"SMILES","NAME","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Ionizable centre (smiles)","pKa predicted value","UNIT {pKa predicted value}","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","IC group given","Temperature","UNIT {Temperature}","CASRN"
"OC(=O)CC1=CC=C(I)C=C1","4-IODOPHENYLACETICACID","-","A3555","12767145","-","-","4.18","Log unit","4.18","Log unit","OC(=O)Cc1ccc(cc1)I","4.38","Log unit","0","3.2243","Log unit","","","-","-"
"CC(C)C1=CC=C(C=C1)C(O)=O","4-ISOPROPYLBENZOICACID","-","A3555","12767145","-","-","4.36","Log unit","4.36","Log unit","OC(=O)c1ccc(cc1)C(C)C","4.34","Log unit","0","4.2346","Log unit","","","-","-"
"CC(C)C1=CC=C(CC(O)=O)C=C1","4-ISOPROPYLPHENYLACETICACID","-","A3555","12767145","-","-","4.39","Log unit","4.39","Log unit","OC(=O)Cc1ccc(cc1)C(C)C","4.38","Log unit","0","4.7969","Log unit","","","-","-"
"COC1=CC=C(C=C1)C(O)=O","4-METHOXYBENZOICACID","-","A3555","12767145","-","-","4.49","Log unit","4.49","Log unit","OC(=O)c1ccc(cc1)OC","4.51","Log unit","0","4.3667","Log unit","","","-","-"
"COC1=CC=C(O)C=C1","4-Methoxyphenol","-","A3555","12767145","-","-","10.2","Log unit","10.2","Log unit","Oc1ccc(cc1)OC","10.1","Log unit","0","9.9405","Log unit","","","-","-"
"CC(C)\C=C\C(O)=O","4-METHYL-2-PENTENOICACID","-","A3555","12767145","-","-","4.7","Log unit","4.7","Log unit","OC(=O)C=CC(C)C","4.56","Log unit","0","5.1246","Log unit","","","-","-"
"CC(C)=CCC(O)=O","4-METHYL-3-PENTENOICACID","-","A3555","12767145","-","-","4.6","Log unit","4.6","Log unit","OC(=O)CC=C(C)C","4.79","Log unit","0","4.9275","Log unit","","","-","-"
"CC1=CC=C(C=C1)C(O)=O","4-METHYLBENZOICACID","-","A3555","12767145","-","-","4.36","Log unit","4.36","Log unit","OC(=O)c1ccc(cc1)C","4.4","Log unit","0","4.2644","Log unit","","","-","-"
"COC(=O)C1=CC=C(O)C=C1","4-METHYLCARBOXYLPHENOL","-","A3555","12767145","-","-","8.47","Log unit","8.47","Log unit","Oc1ccc(cc1)C(=O)OC","8.72","Log unit","0","8.5031","Log unit","","","-","-"
"CC(C)CCC(O)=O","4-METHYLPENTANOICACID","-","A3555","12767145","-","-","4.84","Log unit","4.84","Log unit","OC(=O)CCC(C)C","4.98","Log unit","5","5.0901","Log unit","","","-","-"
"CC1=CC(O)=CC(C)=C1S(C)(=O)=O","4-METHYLSULFONYL-3,5-DIMETHYLPHENOL","-","A3555","12767145","-","-","8.13","Log unit","8.13","Log unit","Oc1cc(c(c(c1)C)S(=O)(=O)C)C","8.27","Log unit","0","7.8359","Log unit","","","-","-"
"CS(=O)(=O)C1=CC=C(C=C1)C(O)=O","4-METHYLSULFONYLBENZOICACID","-","A3555","12767145","-","-","3.64","Log unit","3.64","Log unit","OC(=O)c1ccc(cc1)S(=O)(=O)C","3.67","Log unit","0","3.5495","Log unit","","","-","-"
"CS(=O)(=O)C1=CC=C(O)C=C1","4-METHYLSULFONYLPHENOL","-","A3555","12767145","-","-","7.83","Log unit","7.83","Log unit","Oc1ccc(cc1)S(=O)(=O)C","7.85","Log unit","0","7.5793","Log unit","","","-","-"
"OC(=O)C1=CC=C(C=C1)N(=O)=O","4-NITROBENZOICACID","-","A3555","12767145","-","-","3.44","Log unit","3.44","Log unit","OC(=O)c1ccc(cc1)N(=O)=O","3.44","Log unit","0","3.4587","Log unit","","","-","-"
"OC(=O)\C=C\C1=CC=C(C=C1)N(=O)=O","4-NITROCINNAMICACID","-","A3555","12767145","-","-","4.05","Log unit","4.05","Log unit","OC(=O)C=Cc1ccc(cc1)N(=O)=O","4.06","Log unit","0","3.1428","Log unit","","","-","-"
"OC1=CC=C(C=C1)N(=O)=O","4-nitrophenol","-","A3555","12767145","-","-","7.15","Log unit","7.15","Log unit","Oc1ccc(cc1)N(=O)=O","7.17","Log unit","0","7.0354","Log unit","","","-","-"
"OC(=O)CC1=CC=C(C=C1)N(=O)=O","4-NITROPHENYLACETICACID","-","A3555","12767145","-","-","3.85","Log unit","3.85","Log unit","OC(=O)Cc1ccc(cc1)N(=O)=O","4.38","Log unit","0","3.0676","Log unit","","","-","-"
"OC1=CC=C(C=C1)N=O","4-nitrosophenol","-","A3555","12767145","-","-","6.48","Log unit","6.48","Log unit","Oc1ccc(cc1)N=O","6.57","Log unit","0","8.359","Log unit","","","-","-"
"CC(=O)CCC(O)=O","4-OXOPENTANOICACID","-","A3555","12767145","-","-","4.59","Log unit","4.59","Log unit","OC(=O)CCC(=O)C","4.75","Log unit","0","4.3216","Log unit","","","-","-"
"OC(=O)CCC=C","4-PENTENOICACID","-","A3555","12767145","-","-","4.68","Log unit","4.68","Log unit","OC(=O)CCC=C","4.83","Log unit","0","4.8873","Log unit","","","-","-"
"OC(=O)C1=CC=C(OC2=CC=CC=C2)C=C1","4-PHENOXYBENZOICACID","-","A3555","12767145","-","-","4.52","Log unit","4.52","Log unit","OC(=O)c1ccc(cc1)Oc1ccccc1","4.18","Log unit","0","4.2988","Log unit","","","-","-"
"OC(=O)CCCC1=CC=CC=C1","4-PHENYLBUTANOICACID","-","A3555","12767145","-","-","4.76","Log unit","4.76","Log unit","OC(=O)CCCc1ccccc1","4.67","Log unit","0","4.8094","Log unit","","","-","-"
"OC1=CC=C(C=C1)C1=CC=CC=C1","4-Phenylphenol","-","A3555","12767145","-","-","9.55","Log unit","9.55","Log unit","Oc1ccc(cc1)c1ccccc1","10.38","Log unit","0","9.8921","Log unit","","","-","-"
"NS(=O)(=O)C1=CC=C(C=C1)C(O)=O","4-SULFAMYLBENZOICACID","-","A3555","12767145","-","-","3.47","Log unit","3.47","Log unit","OC(=O)c1ccc(cc1)S(=O)(=O)N","3.5","Log unit","0","3.5439","Log unit","","","-","-"
"OC1=CC=C(C=C1)S(O)(=O)=O","4-SULFOPHENOL2","-","A3555","12767145","-","-","8.7","Log unit","8.7","Log unit","Oc1ccc(cc1)S(=O)(=O)O","8.64","Log unit","0","8.8745","Log unit","","","-","-"
"CC(C)(C)C1=CC=C(C=C1)C(O)=O","4-T-BUTYLBENZOICACID","-","A3555","12767145","-","-","4.39","Log unit","4.39","Log unit","OC(=O)c1ccc(cc1)C(C)(C)C","4.31","Log unit","0","4.2199","Log unit","","","-","-"
"CC(C)(C)C1=CC=C(CC(O)=O)C=C1","4-T-BUTYLPHENYLACETICACID","-","A3555","12767145","-","-","4.42","Log unit","4.42","Log unit","OC(=O)Cc1ccc(cc1)C(C)(C)C","4.38","Log unit","0","4.8382","Log unit","","","-","-"
"OC(=O)CCCC(F)(F)F","5,5,5-TRIFLUOROPENTANOICACID","-","A3555","12767145","-","-","4.5","Log unit","4.5","Log unit","OC(=O)CCCC(F)(F)F","4.44","Log unit","0","3.6994","Log unit","","","-","-"
"CC1(C)CC(=O)CC(=O)C1","5,5-DIMETHYL-1,3-CYCLOHEXANEDIONE","-","A3555","12767145","-","-","5.15","Log unit","5.15","Log unit","C1C(=O)CC(CC1=O)(C)C","6.36","Log unit","0","8.7338","Log unit","","","-","-"
"CC(=O)CC(=O)C(C)(C)C","5,5-DIMETHYL-2,4-HEXANEDIONE","-","A3555","12767145","-","-","10.01","Log unit","10.01","Log unit","C(C(=O)C)C(=O)C(C)(C)C","9.81","Log unit","0","9.8294","Log unit","","","-","-"
"CC1(C)NC(=O)NC1=O","5,5-DIMETHYLHYDANTOIN","-","A3555","12767145","-","-","9.19","Log unit","9.19","Log unit","N1C(C(=O)NC1=O)(C)C","8.36","Log unit","1","7.4087","Log unit","","","-","-"
"OC1=CC=CC2=C1CCCC2","5,6,7,8-Tetrahydro-1-naphthol","-","A3555","12767145","-","-","10.28","Log unit","10.28","Log unit","Oc1cccc2CCCCc12","10.43","Log unit","0","10.3795","Log unit","","","-","-"
"OC1=CC2=C(CCCC2)C=C1","5,6,7,8-tetrahydro-2-naphthol","-","A3555","12767145","-","-","10.48","Log unit","10.48","Log unit","Oc1ccc2CCCCc2c1","10.3","Log unit","0","10.3905","Log unit","","","-","-"
"NCCCCC(O)=O","5-AMINOPENTANOICACID1","-","A3555","12767145","-","-","4.2","Log unit","4.2","Log unit","OC(=O)CCCCN","4.71","Log unit","0","4.6511","Log unit","","","-","-"
"NC1=CC=C(O)C(=C1)C(O)=O","5-AMINOSALICYLICACID1","-","A3555","12767145","-","-","2.74","Log unit","2.74","Log unit","OC(=O)c1c(ccc(c1)N)O","3.2","Log unit","0","2.0242","Log unit","","","-","-"
"CCCCCC1(CC)C(=O)NC(=O)NC1=O","5-ETHYL-5-PENTYLBARBITURICACID","-","A3555","12767145","-","-","7.96","Log unit","7.96","Log unit","N1C(=O)NC(=O)C(C1=O)(CC)CCCCC","8.14","Log unit","0","8.4847","Log unit","","","-","-"
"CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1","5-ETHYL-5-PHENYLBARBITURICACID","-","A3555","12767145","-","-","7.45","Log unit","7.45","Log unit","N1C(=O)NC(=O)C(C1=O)(CC)c1ccccc1","7.74","Log unit","0","8.1367","Log unit","","","-","-"
"FC1=CNC(=O)NC1=O","5-fluorouracil","-","A3555","12767145","-","-","8.0","Log unit","8.0","Log unit","[nH]1c(=O)[nH]cc(c1=O)F","7.45","Log unit","0","7.7625","Log unit","","","-","-"
"CC1=C(N=NN1C1=CC=CC=C1)C(O)=O","5-METHYL-1-PHENYL-1,2,3-TRIAZOLE-4-CARBOXYLICACID","-","A3555","12767145","-","-","3.73","Log unit","3.73","Log unit","OC(=O)c1c(n(c2ccccc2)nn1)C","3.0","Log unit","0","2.8477","Log unit","","","-","-"
"CC(C)=CCCC(O)=O","5-METHYL-4-HEXENOICACID","-","A3555","12767145","-","-","4.8","Log unit","4.8","Log unit","OC(=O)CCC=C(C)C","4.66","Log unit","0","5.0528","Log unit","","","-","-"
"C[C@]1(CNC(=O)NC1=O)C1=CC=CC=C1","5-METHYL-5-PHENYLBARBITURICACID","-","A3555","12767145","-","-","8.01","Log unit","8.01","Log unit","N1CC(c2ccccc2)(C(=O)NC1=O)C","7.96","Log unit","9","9.4024","Log unit","","","-","-"
"NCCCCCC(O)=O","6-AMINOHEXANOICACID1","-","A3555","12767145","-","-","4.37","Log unit","4.37","Log unit","OC(=O)CCCCCN","4.89","Log unit","0","4.7261","Log unit","","","-","-"
"CC1=NC(=CC=C1)C(O)=O","6-METHYLPYRIDINE-2-CARBOXYLICACID","-","A3555","12767145","-","666","5.83","Log unit","5.83","Log unit","n1c(cccc1C(=O)O)C","5.7","Log unit","1","6.3155","Log unit","","","-","-"
"OC1=C(C=C(C2=C1N=CC=C2)S(O)(=O)=O)\N=N\C1=CC=C(C=C1)N(=O)=O","7-(4-NITROPHENYLAZO)-8-HYDROXY-5-QUINOLINESUFONICACID","-","A3555","12767145","-","666","3.14","Log unit","3.14","Log unit","n1cccc2c(cc(c(c12)O)N=Nc1ccc(cc1)N(=O)=O)S(=O)(=O)O","2.85","Log unit","1","1.6654","Log unit","","","-","-"
"OC1=C(Br)C=C(C2=C1N=CC=C2)S(O)(=O)=O","7-BROMO-8-HYDROXYQUINOLINE-5-SULFONICACID","-","A3555","12767145","-","666","2.51","Log unit","2.51","Log unit","n1cccc2c(cc(c(c12)O)Br)S(=O)(=O)O","2.66","Log unit","1","1.9034","Log unit","","","-","-"
"OC1=C(Cl)C=C(C2=C1N=CC=C2)S(O)(=O)=O","7-CHLORO-8-HYDROXYQUINOLINE-5-SULFONICACID","-","A3555","12767145","-","666","2.92","Log unit","2.92","Log unit","n1cccc2c(cc(c(c12)O)Cl)S(=O)(=O)O","2.7","Log unit","1","2.0335","Log unit","","","-","-"
"OC1=C(I)C=C(C2=C1N=CC=C2)S(O)(=O)=O","7-IODO-8-HYDROXYQUINOLINE-5-SULFONICACID","-","A3555","12767145","-","666","2.51","Log unit","2.51","Log unit","n1cccc2c(cc(c(c12)O)I)S(=O)(=O)O","2.56","Log unit","1","1.9211","Log unit","","","-","-"
"OC1=C(C=C(C2=C1N=CC=C2)S(O)(=O)=O)\N=N\C1=CC=CC=C1","7-PHENYLAZO-8-HYDROXY-5-QUINOLINESULFONICACID","-","A3555","12767145","-","666","3.41","Log unit","3.41","Log unit","n1cccc2c(cc(c(c12)O)N=Nc1ccccc1)S(=O)(=O)O","2.85","Log unit","2","1.6699","Log unit","","","-","-"
"CC1=NC2=C(C=C1)C(=CC=C2O)S(O)(=O)=O","8-HYDROXY-2-METHYLQUINOLINE-5-SULFONICACID","-","A3555","12767145","-","666","4.8","Log unit","4.8","Log unit","n1c(ccc2c(ccc(c12)O)S(=O)(=O)O)C","4.65","Log unit","1","3.2758","Log unit","","","-","-"
"CC(O)=O","ACETICACID","-","A3555","12767145","-","-","4.76","Log unit","4.76","Log unit","OC(=O)C","4.95","Log unit","0","4.5434","Log unit","","","-","-"
"OC(=O)C=C","ACRYLICACID","-","A3555","12767145","-","-","4.26","Log unit","4.26","Log unit","OC(=O)C=C","4.55","Log unit","0","4.7158","Log unit","","","-","-"
"C[C@H](N)C(O)=O","ALANINE1","-","A3555","12767145","-","-","2.35","Log unit","2.35","Log unit","OC(=O)C(N)C","2.41","Log unit","0","2.4749","Log unit","","","-","-"
"C[C@H](N)C(=O)NCC(=O)NCC(O)=O","ALANYLGLYCYLGLYCINE1","-","A3555","12767145","-","-","3.19","Log unit","3.19","Log unit","OC(=O)CNC(=O)CNC(=O)C(N)C","3.56","Log unit","0","3.5336","Log unit","","","-","-"
"[H]N=C(N)NCCC[C@H](N)C(O)=O","ARGININE1","-","A3555","12767145","-","-","1.82","Log unit","1.82","Log unit","OC(=O)C(N)CCCNC(=N)N","2.46","Log unit","0","2.4118","Log unit","","","-","-"
"N[C@@H](CC(N)=O)C(O)=O","ASPARAGINE1","-","A3555","12767145","-","-","2.14","Log unit","2.14","Log unit","OC(=O)C(N)CC(=O)N","2.18","Log unit","0","1.9985","Log unit","","","-","-"
"N[C@@H](CC(O)=O)C(O)=O","ASPARTICACID1","-","A3555","12767145","-","-","1.99","Log unit","1.99","Log unit","OC(=O)C(N)CC(=O)O","1.65","Log unit","0","1.7025","Log unit","","","-","-"
"N[C@@H](CC(O)=O)C(O)=O","ASPARTICACID3","-","A3555","12767145","-","-","3.9","Log unit","3.9","Log unit","OC(=O)CC(N)C(=O)O","2.72","Log unit","0","5.1138","Log unit","","","-","-"
"C[C@H](N)C(=O)N[C@@H](CC1=CN=CN1)C(O)=O","B-ALANYLHISTIDINE1","-","A3555","12767145","-","-","2.64","Log unit","2.64","Log unit","OC(=O)C(NC(=O)C(N)C)Cc1[nH]cnc1","2.27","Log unit","0","3.3703","Log unit","","","-","-"
"OC(=O)C1=C(C(O)=O)C(C(O)=O)=C(C(O)=O)C(C(O)=O)=C1C(O)=O","BENZENEHEXACARBOXYLICACID","-","A3555","12767145","-","-","0.68","Log unit","0.68","Log unit","OC(=O)c1c(c(c(c(c1C(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O","0.47","Log unit","0","0.7722","Log unit","","","-","-"
"OC(=O)C1=CC(C(O)=O)=C(C(O)=O)C(C(O)=O)=C1C(O)=O","BENZENEPENTACARBOXYLICACID","-","A3555","12767145","-","-","1.8","Log unit","1.8","Log unit","OC(=O)c1c(c(c(cc1C(=O)O)C(=O)O)C(=O)O)C(=O)O","1.19","Log unit","19","2.2231","Log unit","","","-","-"
"O[S@@](=O)C1=CC=CC=C1","BENZENESULFINICACID","-","A3555","12767145","-","-","1.5","Log unit","1.5","Log unit","OS(=O)c1ccccc1","1.53","Log unit","0","1.3595","Log unit","","","-","-"
"OS(=O)(=O)C1=CC=CC=C1","BENZENESULFONICACID","-","A3555","12767145","-","-","2.55","Log unit","2.55","Log unit","OS(=O)(=O)c1ccccc1","3.33","Log unit","0","-2.3604","Log unit","","","-","-"
"OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1","BENZILICACID","-","A3555","12767145","-","-","3.09","Log unit","3.09","Log unit","OC(=O)C(c1ccccc1)(c1ccccc1)O","2.72","Log unit","0","3.6997","Log unit","","","-","-"
"OC(=O)C1=CC=CC=C1","BENZOICACID","-","A3555","12767145","-","-","4.2","Log unit","4.2","Log unit","OC(=O)c1ccccc1","4.21","Log unit","3","4.0752","Log unit","","","-","-"
"CC(=O)CC(=O)C1=CC=CC=C1","Benzoylacetone","-","A3555","12767145","-","-","8.23","Log unit","8.23","Log unit","C(C(=O)c1ccccc1)C(=O)C","9.22","Log unit","0","9.1473","Log unit","","","-","-"
"OC(=O)CBr","BROMOACETICACID","-","A3555","12767145","-","-","2.9","Log unit","2.9","Log unit","OC(=O)CBr","3.21","Log unit","0","2.639","Log unit","","","-","-"
"OC(=O)C#CBr","BROMOPROPYNOICACID","-","A3555","12767145","-","-","1.86","Log unit","1.86","Log unit","OC(=O)C#CBr","1.61","Log unit","0","0.5225","Log unit","","","-","-"
"OC(=O)C[C@@H](Br)C(O)=O","BROMOSUCCINICACID","-","A3555","12767145","-","-","2.55","Log unit","2.55","Log unit","OC(=O)C(CC(=O)O)Br","2.47","Log unit","0","2.5778","Log unit","","","-","-"
"CCCC(O)=O","BUTYRICACID","-","A3555","12767145","-","-","4.82","Log unit","4.82","Log unit","OC(=O)CCC","4.97","Log unit","0","4.9079","Log unit","","","-","-"
"OC(=O)CCl","CHLOROACETICACID","-","A3555","12767145","-","-","2.87","Log unit","2.87","Log unit","OC(=O)CCl","3.23","Log unit","0","3.0557","Log unit","","","-","-"
"OC(=O)C(F)(F)Cl","CHLORODIFLUOROACETICACID","-","A3555","12767145","-","-","0.46","Log unit","0.46","Log unit","OC(=O)C(Cl)(F)F","0.2","Log unit","0","1.1694","Log unit","","","-","-"
"OC(=O)C#CCl","CHLOROPROPYNOICACID","-","A3555","12767145","-","-","1.85","Log unit","1.85","Log unit","OC(=O)C#CCl","1.97","Log unit","0","1.0121","Log unit","","","-","-"
"NC#N","CYANAMIDE","-","A3555","12767145","-","-","10.27","Log unit","10.27","Log unit","NC#N","8.59","Log unit","2","10.8689","Log unit","","","-","-"
"OC(=O)CC#N","CYANOACETICACID","-","A3555","12767145","-","-","2.46","Log unit","2.46","Log unit","OC(=O)CC#N","2.51","Log unit","0","2.8184","Log unit","","","-","-"
"O=C1NC(=O)NC(=O)N1","CYANURICACID","-","A3555","12767145","-","-","6.78","Log unit","6.78","Log unit","[nH]1c(=O)[nH]c(=O)[nH]c1=O","6.78","Log unit","0","7.5477","Log unit","","","-","-"
"OC(=O)C1CCC1","CYCLOBUTANECARBOXYLICACID","-","A3555","12767145","-","-","4.78","Log unit","4.78","Log unit","OC(=O)C1CCC1","4.88","Log unit","0","4.5942","Log unit","","","-","-"
"OC(=O)C1CCCCC1","CYCLOHEXANECARBOXYLICACID","-","A3555","12767145","-","-","4.9","Log unit","4.9","Log unit","OC(=O)C1CCCCC1","4.97","Log unit","0","4.8192","Log unit","","","-","-"
"OC(=O)CC1CCCCC1","CYCLOHEXYLACETICACID","-","A3555","12767145","-","-","4.51","Log unit","4.51","Log unit","OC(=O)CC1CCCCC1","4.89","Log unit","0","4.9396","Log unit","","","-","-"
"OC(=O)[C@@H](C#N)C1CCCCC1","CYCLOHEXYLCYANOACETICACID","-","A3555","12767145","-","-","2.37","Log unit","2.37","Log unit","OC(=O)C(C1CCCCC1)C#N","2.45","Log unit","0","3.879","Log unit","","","-","-"
"OC(=O)CSC1CCCCC1","CYCLOHEXYLTHIOACETICACID","-","A3555","12767145","-","-","3.49","Log unit","3.49","Log unit","OC(=O)CSC1CCCCC1","3.54","Log unit","0","4.611","Log unit","","","-","-"
"OC(=O)C1(CCCC1)C(O)=O","CYCLOPENTANE-1,1-DICARBOXYLICACID","-","A3555","12767145","-","-","3.23","Log unit","3.23","Log unit","OC(=O)C1(CCCC1)C(=O)O","2.8","Log unit","0","2.4968","Log unit","","","-","-"
"OC(=O)C1CCCC1","CYCLOPENTANECARBOXYLICACID","-","A3555","12767145","-","-","4.91","Log unit","4.91","Log unit","OC(=O)C1CCCC1","4.95","Log unit","0","4.7224","Log unit","","","-","-"
"OC(=O)C1(CC1)C(O)=O","CYCLOPROPANE-1,1-DICARBOXYLICACID","-","A3555","12767145","-","-","1.82","Log unit","1.82","Log unit","OC(=O)C1(CC1)C(=O)O","2.65","Log unit","0","2.4516","Log unit","","","-","-"
"OC(=O)C1CC1","CYCLOPROPANECARBOXYLICACID","-","A3555","12767145","-","-","4.83","Log unit","4.83","Log unit","OC(=O)C1CC1","4.8","Log unit","0","4.4164","Log unit","","","-","-"
"N[C@@H](CS)C(O)=O","CYSTEINE1","-","A3555","12767145","-","-","1.92","Log unit","1.92","Log unit","OC(=O)C(N)CS","1.27","Log unit","0","2.346","Log unit","","","-","-"
"N[C@@H](CS)C(O)=O","CYSTEINE3","-","A3555","12767145","-","666","8.37","Log unit","8.37","Log unit","NC(CS)C(=O)O","8.81","Log unit","1","9.0538","Log unit","","","-","-"
"OC(=O)C(Br)Br","DIBROMOACETICACID","-","A3555","12767145","-","-","1.39","Log unit","1.39","Log unit","OC(=O)C(Br)Br","1.46","Log unit","0","1.6011","Log unit","","","-","-"
"OC(=O)C(Cl)Cl","DICHLOROACETICACID","-","A3555","12767145","-","-","1.26","Log unit","1.26","Log unit","OC(=O)C(Cl)Cl","1.51","Log unit","0","2.297","Log unit","","","-","-"
"OC(=O)C(F)F","DIFLUOROACETICACID","-","A3555","12767145","-","-","1.33","Log unit","1.33","Log unit","OC(=O)C(F)F","1.91","Log unit","0","1.9956","Log unit","","","-","-"
"OC(C(O)=O)C(=O)C(O)=O","DIHYDROXYMALEICACID","-","A3555","12767145","-","-","1.1","Log unit","1.1","Log unit","OC(=O)C(=O)C(C(=O)O)O","2.73","Log unit","0","2.1244","Log unit","","","-","-"
"O[C@@H](C(O)=O)C1=CC(Cl)=CC=C1","3-CHLOROMANDELICACID","-","A3555","12767145","-","-","3.24","Log unit","3.24","Log unit","OC(=O)C(O)c1cc(ccc1)Cl","3.13","Log unit","0","3.1539","Log unit","","","-","-"
"OC1=CC=CC(Cl)=C1","3-Chlorophenol","-","A3555","12767145","-","-","9.1","Log unit","9.1","Log unit","Oc1cc(ccc1)Cl","8.92","Log unit","0","8.795","Log unit","","","-","-"
"OC(=O)COC1=CC(Cl)=CC=C1","3-CHLOROPHENOXYACETICACID","-","A3555","12767145","-","-","3.07","Log unit","3.07","Log unit","OC(=O)COc1cc(ccc1)Cl","3.19","Log unit","0","3.1413","Log unit","","","-","-"
"OC(=O)CC1=CC=CC(Cl)=C1","3-CHLOROPHENYLACETICACID","-","A3555","12767145","-","-","4.14","Log unit","4.14","Log unit","OC(=O)Cc1cccc(c1)Cl","4.22","Log unit","0","3.7657","Log unit","","","-","-"
"OC(=O)CCCl","3-CHLOROPROPANOICACID","-","A3555","12767145","-","-","3.99","Log unit","3.99","Log unit","OC(=O)CCCl","4.36","Log unit","0","3.7245","Log unit","","","-","-"
"OC(=O)C1=CC(=CC=C1)C#N","3-CYANOBENZOICACID","-","A3555","12767145","-","-","3.6","Log unit","3.6","Log unit","OC(=O)c1cc(C#N)ccc1","3.54","Log unit","0","3.877","Log unit","","","-","-"
"OC1=CC=CC(=C1)C#N","3-Cyanophenol","-","A3555","12767145","-","-","8.61","Log unit","8.61","Log unit","Oc1cccc(c1)C#N","8.62","Log unit","0","8.4349","Log unit","","","-","-"
"OC(=O)CCC#N","3-CYANOPROPANOICACID","-","A3555","12767145","-","-","3.99","Log unit","3.99","Log unit","OC(=O)CCC#N","3.76","Log unit","0","3.4264","Log unit","","","-","-"
"OC(=O)CCC1CCCCC1","3-CYCLOHEXYLPROPANOICACID","-","A3555","12767145","-","-","4.91","Log unit","4.91","Log unit","OC(=O)CCC1CCCCC1","4.81","Log unit","0","5.0041","Log unit","","","-","-"
"CCOC1=CC(O)=CC=C1","3-Ethoxyphenol","-","A3555","12767145","-","-","9.65","Log unit","9.65","Log unit","Oc1cc(ccc1)OCC","9.58","Log unit","0","9.4865","Log unit","","","-","-"
"CCC(CC(O)=O)CC(O)=O","3-ETHYLGLUTARICACID","-","A3555","12767145","-","-","4.28","Log unit","4.28","Log unit","OC(=O)CC(CC(=O)O)CC","4.14","Log unit","0","4.041","Log unit","","","-","-"
"CCC(C(C)=O)C(C)=O","3-Ethylpentane-2,4-dione","-","A3555","12767145","-","-","11.34","Log unit","11.34","Log unit","C(C(=O)C)(C(=O)C)CC","9.56","Log unit","0","11.0804","Log unit","","","-","-"
"CCC1=CC=CC(O)=C1","3-ethylphenol","-","A3555","12767145","-","-","10.07","Log unit","10.07","Log unit","Oc1cc(ccc1)CC","10.01","Log unit","0","10.1109","Log unit","","","-","-"
