"SMILES","NAME","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Temperature","UNIT {Temperature}","Ionizable centre (smiles)","pKa predicted value","UNIT {pKa predicted value}","IC group given","IC smiles given","IC index predicted","AtomNR of IC","groupsAndICs","IC group detected","MultiGroupDetection","CASRN"
"CCOC(=O)C1=C(N)N=C(C)N=C1","4-amino-5-ethoxycarbonyl-2-methylpyrimidine","-","A5793","-","-","-","4.53","Log unit","4.53","Log unit","25.0","?C","n1cc(c(N)nc1C)C(=O)OCC","4.9208","Log unit","4","n(cc(c1N)C(=O)OCC)c(n1)C","0","","","","","-"
"NC1=NC=C(C=N1)C1=CC=C(F)C=C1","2-amino-5-(4-fluorophenyl)pyrimidine","-","A5793","-","-","-","3.25","Log unit","3.25","Log unit","25.0","?C","n1cc(c2ccc(F)cc2)cnc1N","3.1658","Log unit","4","F-c(ccc1c(cnc2N)cn2)cc1","7","","","","","-"
"CC1=NC=C(C=O)C(N)=N1","4-amino-5-formyl-2-methylpyrimidine","-","A5793","-","-","-","4.46","Log unit","4.46","Log unit","25.0","?C","n1cc(C=O)c(nc1C)N","5.5019","Log unit","4","O=C-c(cnc1C)c(n1)N","4","","","","","-"
"CC1=NC(N)=C(C(NN)=N1)N(=O)=O","4-amino-6-hydrazino-2-methyl-5-nitropyrimidine","-","A5793","-","-","-","4.03","Log unit","4.03","Log unit","25.0","?C","n1c(c(N(=O)=O)c(nc1C)N)NN","6.2195","Log unit","7","O=N(=O)-c(c(nc1C)N)c(n1)NN","10","","","","","-"
"NNC1=NC=NC(N)=C1N(=O)=O","4-amino-6-hydrazino-5-nitropyrimidine","-","A5793","-","-","-","3.65","Log unit","3.65","Log unit","25.0","?C","n1c(c(N(=O)=O)c(nc1)NN)N","1.6888","Log unit","7","O=N(=O)-c(c(nc1)N)c(n1)NN","5","","","","","-"
"NC1=NC=CC([S-])=N1","2-amino-4-mercaptopyrimidine","-","A5793","-","-","-","8.05","Log unit","8.05","Log unit","25.0","?C","[S-]c1nc(ncc1)N","7.218","Log unit","4","[S-1]-c(nc(n1)N)cc1","0","","","","","-"
"NC1=NC([S-])=NC=C1","4-amino-2-mercaptopyrimidine","-","A5793","-","-","-","10.66","Log unit","10.66","Log unit","25.0","?C","[S-]c1nccc(n1)N","9.0182","Log unit","4","[S-1]-c(ncc1)nc1N","0","","","","","-"
"COC1=NC(N)=CC=N1","4-amino-2-methoxypyrimidine","-","A5793","-","-","-","5.3","Log unit","5.3","Log unit","25.0","?C","n1ccc(N)nc1OC","4.908","Log unit","4","n(ccc1N)c(n1)OC","0","","","","","-"
"COC1=CC=NC(N)=N1","2-Amino-4-methoxypyrimidine","-","A5793","-","-","-","5.51","Log unit","5.51","Log unit","25.0","?C","n1ccc(OC)nc1N","4.9909","Log unit","4","n(ccc1OC)c(n1)N","0","","","","","-"
"COC1=NC=NC=C1N","5-amino-4-methoxypyrimidine","-","A5793","-","-","-","4.22","Log unit","4.22","Log unit","25.0","?C","n1cnc(OC)c(c1)N","3.0493","Log unit","4","n(cnc1OC)cc1N","0","","","","","-"
"COC1=NC(C)=NC(N)=C1","4-amino-6-methoxy-2-methylpyrimidine","-","A5793","-","-","-","4.42","Log unit","4.42","Log unit","25.0","?C","n1c(nc(N)cc1OC)C","6.1494","Log unit","3","n(c(nc1OC)C)c(N)c1","2","","","","","-"
"COC1=CC=C(C=C1)C1=CN=C(N)N=C1","2-amino-5-(4-methoxyphenyl)pyrimidine","-","A5793","-","-","-","3.32","Log unit","3.32","Log unit","25.0","?C","n1cc(c2ccc(cc2)OC)cnc1N","3.1724","Log unit","4","c(cc(c1)c(cnc2N)cn2)c(c1)OC","6","","","","","-"
"COC1=NC=NC(N)=C1","4-Amino-6-methoxypyrimidine","-","A5793","-","-","-","4.0","Log unit","4.0","Log unit","25.0","?C","n1cnc(N)cc1OC","5.0373","Log unit","3","n(cnc1OC)c(N)c1","2","","","","","-"
"CC1=CC=NC(N)=N1","2-AMINO-4-METHYLPYRIMIDINE","-","A5793","-","-","-","4.135","Log unit","4.135","Log unit","25.0","?C","n1ccc(C)nc1N","4.53","Log unit","4","n(ccc1C)c(n1)N","0","","","","","-"
"CC1=NC=NC(N)=C1","4-amino-6-methylpyrimidine","-","A5793","-","-","-","6.16","Log unit","6.16","Log unit","25.0","?C","n1cnc(N)cc1C","6.1975","Log unit","3","n(cnc1C)c(N)c1","2","","","","","-"
"CC1=NC=NC=C1N","5-amino-4-methylpyrimidine","-","A5793","-","-","-","3.06","Log unit","3.06","Log unit","25.0","?C","n1cnc(C)c(c1)N","2.8522","Log unit","4","n(cnc1C)cc1N","0","","","","","-"
"CC1=NC(N)=CC=N1","4-amino-2-methylpyrimidine","-","A5793","-","-","-","6.53","Log unit","6.53","Log unit","25.0","?C","n1ccc(N)nc1C","6.5516","Log unit","4","n(ccc1N)c(n1)C","0","","","","","-"
"CC1=NC(N)=C(C=N1)N(=O)=O","4-amino-2-methyl-5-nitropyrimidine","-","A5793","-","-","-","2.67","Log unit","2.67","Log unit","25.0","?C","n1cc(c(N)nc1C)N(=O)=O","2.7285","Log unit","4","n(cc(c1N)N(=O)=O)c(n1)C","0","","","","","-"
"CSC1=NC(N)=NC=C1","2-amino-4-methylthiopyrimidine","-","A5793","-","-","-","4.73","Log unit","4.73","Log unit","25.0","?C","n1c(nc(SC)cc1)N","3.8924","Log unit","3","S(C)-c(nc(n1)N)cc1","5","","","","","-"
"CSC1=NC=CC(N)=N1","4-amino-2-methylthiopyrimidine","-","A5793","-","-","-","4.89","Log unit","4.89","Log unit","25.0","?C","n1c(SC)nc(cc1)N","5.7789","Log unit","4","S(C)-c(ncc1)nc1N","3","","","","","-"
"CSC1=NC=NC(N)=C1","4-amino-6-methylthiopyrimidine","-","A5793","-","-","-","3.94","Log unit","3.94","Log unit","25.0","?C","n1c(SC)cc(nc1)N","5.4058","Log unit","4","S(C)-c(ncn1)cc1N","3","","","","","-"
"NC1=NC=C(C=N1)N(=O)=O","2-Amino-5-nitropyrimidine","-","A5793","-","-","-","0.335","Log unit","0.335","Log unit","25.0","?C","n1cc(cnc1N)N(=O)=O","-0.7016","Log unit","4","n(cc(c1)N(=O)=O)c(n1)N","0","","","","","-"
"NC1=NC=NC=C1N(=O)=O","4-amino-5-nitropyrimidine","-","A5793","-","-","-","1.98","Log unit","1.98","Log unit","25.0","?C","n1cnc(N)c(c1)N(=O)=O","1.7193","Log unit","4","n(cnc1N)cc1N(=O)=O","0","","","","","-"
"NC1=NC=C(C=N1)C1=CC=C(C=C1)N(=O)=O","2-amino-5-(4-nitrophenyl)pyrimidine","-","A5793","-","-","-","2.7","Log unit","2.7","Log unit","25.0","?C","n1cc(c2ccc(N(=O)=O)cc2)cnc1N","3.1353","Log unit","4","O=N(=O)-c(ccc1c(cnc2N)cn2)cc1","9","","","","","-"
"NC1=NC=C(C=N1)C1=CC=CC=C1","2-amino-5-phenylpyrimidine","-","A5793","-","-","-","3.32","Log unit","3.32","Log unit","25.0","?C","n1cc(c2ccccc2)cnc1N","3.1578","Log unit","4","c(ccc1c(cnc2N)cn2)cc1","6","","","","","-"
"NC1=CC=NC(=N1)C(F)(F)F","4-amino-2-trifluoromethylpyrimidine","-","A5793","-","-","-","1.39","Log unit","1.39","Log unit","25.0","?C","n1ccc(N)nc1C(F)(F)F","1.7428","Log unit","3","n(ccc1N)c(n1)C(F)(F)F","0","","","","","-"
"BrC1=NC=CC=N1","2-Bromopyrimidine","-","A5793","-","-","-","-1.9","Log unit","-1.9","Log unit","25.0","?C","n1c(Br)nccc1","-1.3216","Log unit","2","Br-c(ncc1)nc1","2","","","","","-"
"[O-]C1=NC=C(Br)C=N1","5-Bromo-2-hydroxypyrimidine","-","A5793","-","-","-","7.06","Log unit","7.06","Log unit","25.0","?C","[O-]c1ncc(Br)cn1","12.5874","Log unit","n","Br-c(cnc1[O-1])cn1","5","","","","","-"
"[O-]c1ncc(Br)c[n+]1","5-Bromo-2-hydroxypyrimidine","-","A5793","-","-","-","0.4","Log unit","0.4","Log unit","25.0","?C","[O-]c1[n+]cc(Br)cn1","3.6394","Log unit","n","Br-c(c[n+1]c1[O-1])cn1","5","","","","","-"
"[O-]C1=NC=NC=C1Br","5-Bromo-4-hydroxypyrimidine","-","A5793","-","-","-","7.36","Log unit","7.36","Log unit","25.0","?C","[O-]c1c(Br)cncn1","11.1652","Log unit","2","Br-c(cnc1)c(n1)[O-1]","7","","","","","-"
"[S-]c1ncc(Br)c[n+]1","5-bromo-2-mercaptopyrimidine","-","A5793","-","-","-","-0.43","Log unit","-0.43","Log unit","25.0","?C","[S-]c1[n+]cc(Br)cn1","6.9778","Log unit","n","Br-c(c[n+1]c1[S-1])cn1","5","","","","","-"
"[S-]C1=NC=C(Br)C=N1","5-bromo-2-mercaptopyrimidine","-","A5793","-","-","-","5.22","Log unit","5.22","Log unit","25.0","?C","[S-]c1ncc(Br)cn1","8.2891","Log unit","n","Br-c(cnc1[S-1])cn1","5","","","","","-"
"[S-]C1=NC=NC=C1Br","5-bromo-4-mercaptopyrimidine","-","A5793","-","-","-","5.65","Log unit","5.65","Log unit","20.0","?C","[S-]c1c(Br)cncn1","6.3619","Log unit","1","Br-c(cnc1)c(n1)[S-1]","7","","","","","-"
"COC1=NC=C(Br)C=N1","5-bromo-2-methoxypyrimidine","-","A5793","-","-","-","-0.77","Log unit","-0.77","Log unit","25.0","?C","n1cc(Br)cnc1OC","-0.0634","Log unit","2","Br-c(cnc1OC)cn1","3","","","","","-"
"COC1=NC=NC=C1Br","5-bromo-4-methoxypyrimidine","-","A5793","-","-","-","1.35","Log unit","1.35","Log unit","25.0","?C","n1cc(Br)c(nc1)OC","2.2208","Log unit","2","Br-c(cnc1)c(n1)OC","3","","","","","-"
"CSC1=NC=C(Br)C=N1","5-bromo-2-methylthiopyrimidine","-","A5793","-","-","-","-0.9","Log unit","-0.9","Log unit","25.0","?C","n1cc(Br)cnc1SC","0.8766","Log unit","2","Br-c(cnc1SC)cn1","3","","","","","-"
"CSC1=NC=NC=C1Br","5-bromo-4-methylthiopyrimidine","-","A5793","-","-","-","1.02","Log unit","1.02","Log unit","25.0","?C","n1cc(Br)c(SC)nc1","1.1519","Log unit","2","Br-c(cnc1)c(SC)n1","3","","","","","-"
"CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1","2,4-Diamino-5-(p-chlorophenyl)-6-ethylpyrimidine","-","A5793","-","-","-","7.3","Log unit","7.3","Log unit","25.0","?C","n1c(c(c2ccc(Cl)cc2)c(nc1N)N)CC","7.7732","Log unit","6","Cl-c(ccc1c(c(nc2N)N)c(n2)CC)cc1","12","","","","","-"
"COC1=NC=C(C=N1)C1=CC=C(Br)C=C1","5-p-bromophenyl-2-methoxypyrimidine","-","A5793","-","-","-","0.61","Log unit","0.61","Log unit","25.0","?C","n1cc(c2ccc(Br)cc2)cnc1OC","0.5481","Log unit","2","Br-c(ccc1c(cnc2OC)cn2)cc1","7","","","","","-"
"[O-]C(=O)C1=NC=CC=N1","2-carboxypyrimidine","-","A5793","-","-","-","2.5","Log unit","2.5","Log unit","25.0","?C","[O-]C(=O)c1ncccn1","2.8397","Log unit","n","n(ccc1)c(n1)C(=O)[O-1]","8","","","","","-"
"CC1=CC(C)=NC(Cl)=N1","2-chloro-4,6-dimethylpyrimidine","-","A5793","-","-","-","-0.68","Log unit","-0.68","Log unit","25.0","?C","n1c(Cl)nc(cc1C)C","0.6301","Log unit","2","Cl-c(nc(c1)C)nc1C","2","","","","","-"
"CCCC1=C(C)N=C(Cl)N=C1C","2-chloro-4,6-dimethyl-5-propylpyrimidine","-","A5793","-","-","-","-0.34","Log unit","-0.34","Log unit","25.0","?C","n1c(Cl)nc(c(c1C)CCC)C","0.3773","Log unit","2","Cl-c(nc(C)c1CCC)nc1C","2","","","","","-"
"COC1=NC=C(C=N1)C1=CC=C(Cl)C=C1","5-p-chlorophenyl-2-methoxypyrimidine","-","A5793","-","-","-","0.62","Log unit","0.62","Log unit","25.0","?C","n1cc(c2ccc(Cl)cc2)cnc1OC","0.5495","Log unit","2","Cl-c(ccc1c(cnc2OC)cn2)cc1","7","","","","","-"
"NC1=CN=CN=C1N","4,5-Diaminopyrimidine","-","A5793","-","-","-","6.02","Log unit","6.02","Log unit","25.0","?C","n1cnc(N)c(c1)N","5.7495","Log unit","6","n(cnc1N)cc1N","0","","","","","-"
"NC1=NC=C(CC2=CC=CC=C2)C(N)=N1","2,4-DIAMINO-5-BENZYLPYRIMIDINE","-","A5793","-","-","-","7.27","Log unit","7.27","Log unit","25.0","?C","n1cc(Cc2ccccc2)c(nc1N)N","7.1577","Log unit","6","c(ccc1C-c(cnc2N)c(n2)N)cc1","7","","","","","-"
"NC1=NC=NC(N)=C1Br","4,6-diamino-5-bromopyrimidine","-","A5793","-","-","-","4.2","Log unit","4.2","Log unit","25.0","?C","n1c(c(Br)c(nc1)N)N","6.7572","Log unit","5","Br-c(c(nc1)N)c(n1)N","3","","","","","-"
"NC1=NC=C(Br)C(N)=N1","2,4-diamino-5-bromopyrimidine","-","A5793","-","-","-","5.59","Log unit","5.59","Log unit","25.0","?C","n1cc(Br)c(nc1N)N","6.6067","Log unit","6","Br-c(cnc1N)c(n1)N","3","","","","","-"
"NC1=NC(N)=C(C=N1)C([O-])=O","2,4-diamino-5-carboxypyrimidine","-","A5793","-","-","-","6.8","Log unit","6.8","Log unit","25.0","?C","N1CC(C(N)NC1N)C(=O)[O-]","7.4924","Log unit","6","n(cc(c1N)C(=O)[O-1])-c(n1)N","0","","","","","-"
"NC1=NC=NC(C([O-])=O)=C1N","4,5-diamino-6-carboxypyrimidine","-","A5793","-","-","-","7.2","Log unit","7.2","Log unit","25.0","?C","n1cnc(N)c(N)c1C(=O)[O-]","6.0684","Log unit","6","n1cnc(N)c(N)c1C(=O)[O-1]","0","","","","","-"
"NC1=CC(Cl)=NC(N)=N1","2,4-Diamino-6-chloropyrimidine","-","A5793","-","-","-","3.575","Log unit","3.575","Log unit","25.0","?C","n1c(nc(Cl)cc1N)N","5.3141","Log unit","6","Cl-c(nc(n1)N)cc1N","4","","","","","-"
"NC1=CN=C(Cl)N=C1N","4,5-diamino-2-chloropyrimidine","-","A5793","-","-","-","2.63","Log unit","2.63","Log unit","25.0","?C","n1c(Cl)nc(c(c1)N)N","2.8577","Log unit","6","Cl-c(ncc1N)nc1N","2","","","","","-"
"NC1=NC=C(Cl)C(N)=N1","2,4-diamino-5-chloropyrimidine","-","A5793","-","-","-","5.52","Log unit","5.52","Log unit","25.0","?C","n1cc(Cl)c(nc1N)N","6.4468","Log unit","6","Cl-c(cnc1N)c(n1)N","3","","","","","-"
"NC1=NC=C(OCC2=CC=C(Cl)C=C2)C(N)=N1","2,4-diamino-5-(p-chlorophenoxy)pyrimidine","-","A5793","-","-","-","6.16","Log unit","6.16","Log unit","25.0","?C","n1cc(OCc2ccc(Cl)cc2)c(nc1N)N","6.9028","Log unit","6","Cl-c(ccc1CO-c(cnc2N)c(n2)N)cc1","9","","","","","-"
"NC1=NC=C(C(N)=N1)C1=CC(Cl)=CC=C1","2,4-diamino-5-(m-chlorophenyl)pyrimidine","-","A5793","-","-","-","6.7","Log unit","6.7","Log unit","25.0","?C","n1cc(c2cc(Cl)ccc2)c(nc1N)N","7.153","Log unit","6","Cl-c(ccc1)cc1c(cnc2N)c(n2)N","9","","","","","-"
"NC1=NC=C(C(N)=N1)C1=CC=C(Cl)C=C1","2,4-diamino-5-(p-chlorophenyl)pyrimidine","-","A5793","-","-","-","6.79","Log unit","6.79","Log unit","25.0","?C","n1cc(c2ccc(Cl)cc2)c(nc1N)N","7.1619","Log unit","6","Cl-c(ccc1c(cnc2N)c(n2)N)cc1","7","","","","","-"
"CC(C)CC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1","2,4-diamino-5-(p-chlorophenyl)-6-isobutylpyrimidine","-","A5793","-","-","-","7.39","Log unit","7.39","Log unit","25.0","?C","n1c(c(c2ccc(Cl)cc2)c(nc1N)N)CC(C)C","7.7031","Log unit","5","Cl-c(ccc1c(c(nc2N)N)c(n2)CC(C)C)cc1","12","","","","","-"
"CC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1","2,4-diamino-5-(p-chlorophenyl)-6-methylpyrimidine","-","A5793","-","-","-","7.26","Log unit","7.26","Log unit","25.0","?C","n1c(c(c2ccc(Cl)cc2)c(nc1N)N)C","7.9412","Log unit","5","Cl-c(ccc1c(c(nc2N)N)c(n2)C)cc1","12","","","","","-"
"CCCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1","2,4-diamino-5-(p-chlorophenyl)-6-n-propylpyrimidine","-","A5793","-","-","-","7.35","Log unit","7.35","Log unit","25.0","?C","n1c(c(c2ccc(Cl)cc2)c(nc1N)N)CCC","7.7381","Log unit","5","Cl-c(ccc1c(c(nc2N)N)c(n2)CCC)cc1","12","","","","","-"
"NC1=NC=C(SC2=CC=C(Cl)C=C2)C(N)=N1","2,4-diamino-5-(p-chlorophenylthio)pyrimidine","-","A5793","-","-","-","5.4","Log unit","5.4","Log unit","25.0","?C","n1cc(Sc2ccc(Cl)cc2)c(nc1N)N","6.7266","Log unit","6","Cl-c(ccc1S-c(cnc2N)c(n2)N)cc1","8","","","","","-"
"NC1=CC(SC2=CC=C(Cl)C=C2)=NC(N)=N1","2,4-diamino-6-(p-chlorophenylthio)pyrimidine","-","A5793","-","-","-","5.02","Log unit","5.02","Log unit","25.0","?C","n1c(Sc2ccc(Cl)cc2)cc(nc1N)N","6.8128","Log unit","6","Cl-c(ccc1S-c(nc(n2)N)cc2N)cc1","7","","","","","-"
"CCC1=NC(N)=NC(N)=C1SC1=CC=C(Cl)C=C1","2,4-diamino-5-(p-chlorophenylthio)-6-ethylpyrimidine","-","A5793","-","-","-","6.27","Log unit","6.27","Log unit","25.0","?C","n1c(c(Sc2ccc(Cl)cc2)c(nc1N)N)CC","7.4017","Log unit","5","Cl-c(ccc1S-c(c(nc2N)N)c(n2)CC)cc1","13","","","","","-"
"NC1=NC(N)=C(C=N1)C#N","2,4-Diamino-5-cyanopyrimidine","-","A5793","-","-","-","3.75","Log unit","3.75","Log unit","25.0","?C","n1cc(c(N)nc1N)C#N","3.801","Log unit","6","n(cc(c1N)C#N)c(n1)N","0","","","","","-"
"CCOC(=O)c1nc([S-])[n+]c(N)c1N","4,5-diamino-6-ethoxycarbonyl-2-mercaptopyrimidine","-","A5793","-","-","-","1.81","Log unit","1.81","Log unit","25.0","?C","[S-]c1[n+]c(N)c(N)c(n1)C(=O)OCC","8.0686","Log unit","n","[S-1]-c([n+1]c(N)c1N)nc1C(=O)OCC","0","","","","","-"
"NC1=CN=C([S-])N=C1N","4,5-diamino-2-mercaptopyrimidine","-","A5793","-","-","-","10.42","Log unit","10.42","Log unit","25.0","?C","[S-]c1ncc(N)c(n1)N","9.3146","Log unit","6","[S-1]-c(ncc1N)nc1N","0","","","","","-"
"CC1=NC(N)=NC(N)=C1","2,4-diamino-6-methyl","-","A5793","-","-","-","7.615","Log unit","7.615","Log unit","25.0","?C","n1c(nc(N)cc1C)N","8.2735","Log unit","5","n(c(nc1C)N)c(N)c1","2","","","","","-"
"CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C(Cl)=C1","2,4-Diamino-5-(3',4'-dichlorophenyl)-6-ethylpyrimidine","-","A5793","-","-","-","7.2","Log unit","7.2","Log unit","25.0","?C","n1c(c(c2ccc(Cl)c(Cl)c2)c(nc1N)N)CC","7.7668","Log unit","5","Cl-c(ccc1c(c(nc2N)N)c(n2)CC)c(Cl)c1","12","","","","","-"
"CC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C(Cl)=C1","2,4-diamino-5-(3',4'-dichlorophenyl)-6-methylpyrimidine","-","A5793","-","-","-","7.15","Log unit","7.15","Log unit","25.0","?C","n1c(c(c2ccc(Cl)c(Cl)c2)c(nc1N)N)C","7.9348","Log unit","5","Cl-c(ccc1c(c(nc2N)N)c(n2)C)c(Cl)c1","12","","","","","-"
"CC1=NC(N)=NC(N)=C1C","2,4-diamino-5,6-dimethylpyrimidine","-","A5793","-","-","-","8.07","Log unit","8.07","Log unit","25.0","?C","n1c(nc(N)c(c1C)C)N","8.0235","Log unit","5","n(c(nc1C)N)c(N)c1C","2","","","","","-"
"CC1=NC(N)=C(C)C(N)=N1","4,6-diamino-2,5-dimethylpyrimidine","-","A5793","-","-","-","7.08","Log unit","7.08","Log unit","25.0","?C","n1c(nc(N)c(c1N)C)C","8.3829","Log unit","6","n(c(nc1N)C)c(N)c1C","0","","","","","-"
"CCOC(=O)C1=C(N)N=C(N)N=C1","2,4-diamino-5-ethoxycarbonylpyrimidine","-","A5793","-","-","-","5.07","Log unit","5.07","Log unit","25.0","?C","n1cc(c(N)nc1N)C(=O)OCC","5.7914","Log unit","6","n(cc(c1N)C(=O)OCC)c(n1)N","0","","","","","-"
"CCCCC1=C(N)N=C(N)N=C1C","2,4-diamino-5-isobutyl-6-methylpyrimidine","-","A5793","-","-","-","8.06","Log unit","8.06","Log unit","25.0","?C","n1c(nc(N)c(c1C)CCCC)N","7.976","Log unit","5","n(c(nc1C)N)c(N)c1CCCC","2","","","","","-"
