"SMILES","CASRN","RECORDID","MOLECULEID","EXTERNALID","N","NAME","NAME","INTRODUCER","MODIFIER","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Temperature","UNIT {Temperature}","Ionizable centre (smiles)","IC group given","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","pKa predicted value","UNIT {pKa predicted value}","IC smiles given","AtomNR of IC","groupsAndICs","COMMENTS","INCHI_KEY"
"OC(=O)COC1=CC=C(C=C1)C#N","1878-82-6","R2182411","M806","-","102","p-Cyanophenoxyacetic acid","-","Koerner","Koerner","A3183","-","468","6","2.93","Log unit","2.93","Log unit","25.0","?C","O=C(O)COc1ccc(C#N)cc1","aliph. carboxylic acid","","","-","","-","","","","-","BJGOCBAHPWALBX-UHFFFAOYSA"
"OC(=O)CC1=CC=CC(I)=C1","1878-69-9","R2182412","M6982","-","103","m-Iodophenylacetic acid","-","Koerner","Koerner","A3183","-","468","6","4.16","Log unit","4.16","Log unit","25.0","?C","O=C(O)Cc1cc(I)ccc1","aliph. carboxylic acid","","","-","","-","","","","-","MRSWWBAFGGGWRH-UHFFFAOYSA"
"OC(=O)CC1=CC=C(Br)C=C1","1878-68-8","R2182413","M9317","-","104","p-Bromophenylacetic acid","-","Koerner","Koerner","A3183","-","468","6","4.19","Log unit","4.19","Log unit","25.0","?C","O=C(O)Cc1ccc(Br)cc1","aliph. carboxylic acid","","","-","","-","","","","-","QOWSWEBLNVACCL-UHFFFAOYSA"
"OC(=O)CC1=CC=C(Cl)C=C1","1878-66-6","R2182414","M1263","-","105","P-CHLOROPHENYLACETIC ACID","-","Koerner","Koerner","A3183","-","468","6","4.19","Log unit","4.19","Log unit","25.0","?C","O=C(O)Cc1ccc(Cl)cc1","aliph. carboxylic acid","","","-","","-","","","","-","CDPKJZJVTHSESZ-UHFFFAOYSA"
"OC(=O)CC1=CC=CC(Cl)=C1","1878-65-5","R2182415","M12249","-","106","m-Chlorophenylacetic acid","-","Koerner","Koerner","A3183","-","468","6","4.14","Log unit","4.14","Log unit","25.0","?C","O=C(O)Cc1cc(Cl)ccc1","aliph. carboxylic acid","","","-","","-","","","","-","WFPMUFXQDKMVCO-UHFFFAOYSA"
"CC1=C(OCC(O)=O)C=CC=C1","1878-49-5","R2182416","M9203","-","107","o-Methylphenoxyacetic acid","-","Koerner","Koerner","A3183","-","468","6","3.23","Log unit","3.23","Log unit","25.0","?C","O=C(O)COc1c(cccc1)C","aliph. carboxylic acid","","","-","","-","","","","-","QJVXBRUGKLCUMY-UHFFFAOYSA"
"OC(=O)COC1=CC=CC(=C1)C#N","1879-58-9","R2182417","M11445","-","108","m-Cyanophenoxyacetic acid","-","Koerner","Koerner","A3183","-","468","6","3.03","Log unit","3.03","Log unit","25.0","?C","O=C(O)COc1cc(C#N)ccc1","aliph. carboxylic acid","","","-","","-","","","","-","UXBVJOUILGIGHW-UHFFFAOYSA"
"OC(=O)COC1=C(Br)C=CC=C1","1879-56-7","R2182418","M618","-","109","o-Bromophenoxyacetic acid","-","Koerner","Koerner","A3183","-","468","6","3.13","Log unit","3.13","Log unit","25.0","?C","O=C(O)COc1c(Br)cccc1","aliph. carboxylic acid","","","-","","-","","","","-","AZYODYPUWJPKOI-UHFFFAOYSA"
"COC1=CC=CC(OCC(O)=O)=C1","2088-24-6","R2182419","M146","-","110","m-Methoxyphenoxyacetic acid","-","Koerner","Koerner","A3183","-","468","6","3.14","Log unit","3.14","Log unit","25.0","?C","O=C(O)COc1cc(ccc1)OC","aliph. carboxylic acid","","","-","","-","","","","-","AHDPQRIYMMZJTF-UHFFFAOYSA"
"OC(=O)CCCCC1=CC=CC=C1","2270-20-4","R2182420","M1148","-","111","5-PHENYLPENTANOIC ACID","-","Koerner","Koerner","A3183","-","468","6","4.88","Log unit","4.88","Log unit","20.0","?C","O=C(O)CCCCc1ccccc1","aliph. carboxylic acid","","","-","","-","","","","-","BYHDDXPKOZIZRV-UHFFFAOYSA"
"OC(=O)COC1=CC=CC2=C1C=CC=C2","2976-75-2","R2182421","M27641","-","112","(1-NAPHTHALENYLOXY)-ACETIC ACID","-","Koerner","Koerner","A3183","-","468","6","3.2","Log unit","3.2","Log unit","","-","O=C(O)COc1c2c(ccc1)cccc2","aliph. carboxylic acid","","","-","","-","","","","-","GHRYSOFWKRRLMI-UHFFFAOYSA"
"OC(=O)CN1C(=O)SC2=CC=CC(Cl)=C12","3813-05-6","R2182422","M4205","-","113","benazolin","-","Koerner","Koerner","A3183","-","468","6","3.04","Log unit","3.04","Log unit","","-","O=C(O)Cn1c2c(Cl)cccc2sc1=O","aliph. carboxylic acid","","","-","","-","","","","-","HYJSGOXICXYZGS-UHFFFAOYSA"
"OC(=O)CC1CCCCC1","5292-21-7","R2182423","M30044","-","114","CYCLOHEXYLACETIC ACID","-","Koerner","Koerner","A3183","-","468","6","4.8","Log unit","4.8","Log unit","","-","O=C(O)Cc1ccccc1","aliph. carboxylic acid","","","-","","-","","","","-","LJOODBDWMQKMFB-UHFFFAOYSA"
"OC(=O)COC1=C(O)C=CC=C1","6324-11-4","R2182424","M6378","-","115","o-Hydroxyphenoxyacetic acid","-","Koerner","Koerner","A3183","-","468","6","3.02","Log unit","3.02","Log unit","25.0","?C","O=C(O)COc1c(cccc1)O","aliph. carboxylic acid","","","-","","-","","","","-","LPXHPAYRONCQIF-UHFFFAOYSA"
"COC1=CC=C(C=C1)[C@@H](O)C(O)=O","10502-44-0","R2182425","M130901","-","116","BENZENEACETIC ACID, _-HYDROXY-4-METHOXY-","-","Koerner","Koerner","A3183","-","468","6","3.42","Log unit","3.42","Log unit","25.0","?C","O=C(O)C(c1ccc(OC)cc1)O","aliph. carboxylic acid","","","-","","-","","","","-","ITECRQOOEQWFPE-MRVPVSSYSA"
"CCC1=CC=C(CC(O)=O)C=C1","14387-10-1","R2182426","M33301","-","117","4-ETHYL-BENZENEACETIC ACID","-","Koerner","Koerner","A3183","-","468","6","4.37","Log unit","4.37","Log unit","25.0","?C","O=C(O)Cc1ccc(cc1)CC","aliph. carboxylic acid","","","-","","-","","","","-","QMBLXRHXCGJOGU-UHFFFAOYSA"
"OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1","15307-86-5","R2182427","M1847","-","118","Diclofenac","-","Koerner","Koerner","A3183","-","468","6","4.15","Log unit","4.15","Log unit","","-","O=C(O)Cc1c(Nc2c(Cl)cccc2Cl)cccc1","aliph. carboxylic acid","","","-","","-","","","","-","DCOPUUMXTXDBNB-UHFFFAOYSA"
