Smiles,CASRN,Record ID,Molecule ID,External ID,N,Name,Introducer,Modifer,Article ID,PUBMED ID,PAGE,TABLE,pKa,pKa Unit,Temperature,Temperature Unit,Ionizable center smiles,IC group
CC(C)CC(O)=O,503-74-2,R2182375,M3566,-,66,ISOVALERIC ACID,Koerner,Koerner,A3183,-,467,6,4.77,Log unit,20,?C,O=C(O)CC(C)C,aliph. carboxylic acid
OCCC(O)=O,503-66-2,R2182376,M20996,-,67,Hydracrylic Acid,Koerner,Koerner,A3183,-,467,6,4.51,Log unit,25,?C,O=C(O)CCO,aliph. carboxylic acid
C[C@@](O)(C(O)=O)C1=CC=CC=C1,515-30-0,R2182377,M124303,-,68,ALPHA-HYDROXY-ALPHA-METHYL BENZENEACETIC ACID,Koerner,Koerner,A3183,-,467,6,3.53,Log unit,18,?C,O=C(O)[C@@](O)(C)c1ccccc1,aliph. carboxylic acid
CC(C(O)=O)C(O)=O,516-05-2,R2182378,M21151,-,69,METHYL MALONIC ACID,Koerner,Koerner,A3183,-,467,6,3.12,Log unit,20,?C,O=C(O)C(C)C(=O)O,aliph. carboxylic acid
OC(=O)CCCCC[C@@H]1NC(=O)CS1,539-35-5,R2182379,M130899,-,70,Mycobacidin,Koerner,Koerner,A3183,-,467,6,5.1,Log unit,,-,O=C(O)CCCCCC1SCC(=O)N1,aliph. carboxylic acid
OC(=O)CC1=CC2=C(C=CC=C2)C=C1,581-96-4,R2182380,M21911,-,71,2-NAPHTHALENEACETIC ACID,Koerner,Koerner,A3183,-,467,6,4.25,Log unit,25,?C,O=C(O)Cc1cc2c(cc1)cccc2,aliph. carboxylic acid
OC(=O)COC1=CC=CC(Cl)=C1,588-32-9,R2182381,M13195,-,72,m-Chlorophenoxyacetic acid,Koerner,Koerner,A3183,-,467,6,3.07,Log unit,25,?C,O=C(O)COc1cc(Cl)ccc1,aliph. carboxylic acid
OC(=O)COC1=CC(Cl)=C(Cl)C=C1,588-22-7,R2182382,M10517,-,73,"3,4-Dichlorophenoxyacetic acid",Koerner,Koerner,A3183,-,467,6,2.92,Log unit,20,?C,O=C(O)COc1ccc(c(Cl)c1)Cl,aliph. carboxylic acid
CC(C)(O)C(O)=O,594-61-6,R2182383,M1103,-,74,A-HYDROXY-I-BUTYRIC ACID,Koerner,Koerner,A3183,-,467,6,3.61,Log unit,25,?C,O=C(O)C(O)(C)C,aliph. carboxylic acid
CC(C)(C(O)=O)C(O)=O,595-46-0,R2182384,M8180,-,75,DIMETHYLMALONIC ACID,Koerner,Koerner,A3183,-,467,6,3.15,Log unit,25,?C,O=C(O)C(C)(C)C(=O)O,aliph. carboxylic acid
CCC(C)(C)C(O)=O,595-37-9,R2182385,M22154,-,76,"2,2-DIMETHYL BUTYRIC ACID",Koerner,Koerner,A3183,-,467,6,5.03,Log unit,18,?C,O=C(O)C(CC)(C)C,aliph. carboxylic acid
C[C@H](Cl)C(O)=O,598-78-7,R2182386,M110064,-,77,2-CHLOROPROPIONIC ACID,Koerner,Koerner,A3183,-,467,6,2.8,Log unit,25,?C,O=C(O)C(Cl)C,aliph. carboxylic acid
C[C@H](Br)C(O)=O,598-72-1,R2182387,M130900,-,78,A-BROMOPROPIONIC ACID,Koerner,Koerner,A3183,-,467,6,2.97,Log unit,18,?C,O=C(O)C(Br)C,aliph. carboxylic acid
CCC(C(O)=O)C(O)=O,601-75-2,R2182388,M22253,-,79,ETHYLMALONIC ACID,Koerner,Koerner,A3183,-,467,6,2.96,Log unit,25,?C,O=C(O)C(CC)C(=O)O,aliph. carboxylic acid
OC(=O)COC1=C(Cl)C=CC=C1,614-61-9,R2182389,M8150,-,80,o-Chlorophenoxyacetic acid,Koerner,Koerner,A3183,-,467,6,3.05,Log unit,25,?C,O=C(O)COc1c(Cl)cccc1,aliph. carboxylic acid
CCCC(C(O)=O)C(O)=O,616-62-6,R2182390,M22536,-,81,PROPYLPROPANEDIOIC ACID,Koerner,Koerner,A3183,-,467,6,2.99,Log unit,25,?C,O=C(O)C(CCC)C(=O)O,aliph. carboxylic acid
CCC[C@H](O)C(O)=O,617-31-2,R2182391,M122623,-,82,2-hydroxy-pentanoic acid,Koerner,Koerner,A3183,-,467,6,3.89,Log unit,25,?C,O=C(O)C(O)CCC,aliph. carboxylic acid
CC1=CC=C(CC(O)=O)C=C1,622-47-9,R2182392,M3595,-,83,p-Methylphenylacetic acid,Koerner,Koerner,A3183,-,467,6,4.37,Log unit,25,?C,O=C(O)Cc1ccc(cc1)C,aliph. carboxylic acid
CC(C)CCC(O)=O,646-07-1,R2182393,M2580,-,84,4-METHYLPENTANOIC ACID,Koerner,Koerner,A3183,-,467,6,4.84,Log unit,18,?C,O=C(O)CCC(C)C,aliph. carboxylic acid
ON(CC(O)=O)C=O,689-13-4,R2182394,M23103,-,85,Hadacidin,Koerner,Koerner,A3183,-,467,6,3.5,Log unit,,-,O=C(O)CN(O)C=O,aliph. carboxylic acid
CC1=CC=C(OCC(O)=O)C=C1,940-64-7,R2182395,M10322,-,86,p-Methylphenoxyacetic acid,Koerner,Koerner,A3183,-,467,6,3.21,Log unit,25,?C,O=C(O)COc1ccc(cc1)C,aliph. carboxylic acid
CC1=CC=CC(OCC(O)=O)=C1,1643-15-8,R2182396,M12093,-,87,m-Methylphenoxyacetic acid,Koerner,Koerner,A3183,-,467,6,3.2,Log unit,25,?C,O=C(O)COc1cc(ccc1)C,aliph. carboxylic acid
OC(=O)C1CC1,1759-53-1,R2182397,M25722,-,88,CYCLOPROPANECARBOXYLIC ACID,Koerner,Koerner,A3183,-,467,6,4.83,Log unit,25,?C,O=C(O)C1CC1,aliph. carboxylic acid
OC(=O)COC1=CC=CC(Br)=C1,1798-99-8,R2182398,M1581,-,89,m-Bromophenoxyacetic acid,Koerner,Koerner,A3183,-,467,6,3.09,Log unit,25,?C,O=C(O)COc1cc(Br)ccc1,aliph. carboxylic acid
OC(=O)COC1=CC=C(C=C1)[N+]([O-])=O,1798-11-4,R2182399,M508,-,90,p-Nitrophenoxyacetic Acid,Koerner,Koerner,A3183,-,467,6,2.89,Log unit,25,?C,O=C(O)COc1ccc([N+](=O)[O-])cc1,aliph. carboxylic acid
OC(=O)CC1=CC=C(I)C=C1,1798-06-7,R2182400,M2655,-,91,p-Iodophenylacetic acid,Koerner,Koerner,A3183,-,467,6,4.18,Log unit,25,?C,O=C(O)Cc1ccc(I)cc1,aliph. carboxylic acid
OC(=O)CCCC1=CC=CC=C1,1821-12-1,R2182401,M7770,-,92,4-Phenylbutyric acid,Koerner,Koerner,A3183,-,467,6,4.76,Log unit,25,?C,O=C(O)CCCc1ccccc1,aliph. carboxylic acid
COC1=CC=C(OCC(O)=O)C=C1,1877-75-4,R2182402,M763,-,93,p-Methoxyphenoxyacetic acid,Koerner,Koerner,A3183,-,467,6,3.21,Log unit,25,?C,O=C(O)COc1ccc(cc1)OC,aliph. carboxylic acid
OC(=O)CC1=CC=CC(=C1)[N+]([O-])=O,1877-73-2,R2182403,M12619,-,94,m-Nitrophenylacetic acid,Koerner,Koerner,A3183,-,467,6,3.97,Log unit,25,?C,O=C(O)Cc1cc([N+](=O)[O-])ccc1,aliph. carboxylic acid
OC(=O)COC1=CC=C(I)C=C1,1878-94-0,R2182404,M9806,-,95,p-Iodophenoxyacetic acid,Koerner,Koerner,A3183,-,467,6,3.16,Log unit,25,?C,O=C(O)COc1ccc(I)cc1,aliph. carboxylic acid
OC(=O)COC1=CC=CC(I)=C1,1878-93-9,R2182405,M2751,-,96,m-Iodophenoxyacetic acid,Koerner,Koerner,A3183,-,467,6,3.13,Log unit,25,?C,O=C(O)COc1cc(I)ccc1,aliph. carboxylic acid
OC(=O)COC1=C(I)C=CC=C1,1878-92-8,R2182406,M8335,-,97,o-Iodophenoxyacetic acid,Koerner,Koerner,A3183,-,467,6,3.17,Log unit,25,?C,O=C(O)COc1c(I)cccc1,aliph. carboxylic acid
OC(=O)COC1=CC=C(Br)C=C1,1878-91-7,R2182407,M10763,-,98,p-Bromophenoxyacetic acid,Koerner,Koerner,A3183,-,468,6,3.13,Log unit,25,?C,O=C(O)COc1ccc(Br)cc1,aliph. carboxylic acid
OC(=O)COC1=CC=CC(=C1)[N+]([O-])=O,1878-88-2,R2182408,M896,-,99,m-Nitrophenoxyacetic Acid,Koerner,Koerner,A3183,-,468,6,2.95,Log unit,25,?C,O=C(O)COc1cc([N+](=O)[O-])ccc1,aliph. carboxylic acid
OC(=O)COC1=C(C=CC=C1)[N+]([O-])=O,1878-87-1,R2182409,M25897,-,100,o-Nitrophenoxyacetic Acid,Koerner,Koerner,A3183,-,468,6,2.9,Log unit,25,?C,O=C(O)COc1c([N+](=O)[O-])cccc1,aliph. carboxylic acid
COC1=C(OCC(O)=O)C=CC=C1,1878-85-9,R2182410,M4403,-,101,O-METHOXY PHENOXYACETIC ACID,Koerner,Koerner,A3183,-,468,6,3.23,Log unit,25,?C,O=C(O)COc1c(cccc1)OC,aliph. carboxylic acid
OC(=O)COC1=CC=C(C=C1)C#N,1878-82-6,R2182411,M806,-,102,p-Cyanophenoxyacetic acid,Koerner,Koerner,A3183,-,468,6,2.93,Log unit,25,?C,O=C(O)COc1ccc(C#N)cc1,aliph. carboxylic acid
OC(=O)CC1=CC=CC(I)=C1,1878-69-9,R2182412,M6982,-,103,m-Iodophenylacetic acid,Koerner,Koerner,A3183,-,468,6,4.16,Log unit,25,?C,O=C(O)Cc1cc(I)ccc1,aliph. carboxylic acid
OC(=O)CC1=CC=C(Br)C=C1,1878-68-8,R2182413,M9317,-,104,p-Bromophenylacetic acid,Koerner,Koerner,A3183,-,468,6,4.19,Log unit,25,?C,O=C(O)Cc1ccc(Br)cc1,aliph. carboxylic acid
OC(=O)CC1=CC=C(Cl)C=C1,1878-66-6,R2182414,M1263,-,105,P-CHLOROPHENYLACETIC ACID,Koerner,Koerner,A3183,-,468,6,4.19,Log unit,25,?C,O=C(O)Cc1ccc(Cl)cc1,aliph. carboxylic acid
OC(=O)CC1=CC=CC(Cl)=C1,1878-65-5,R2182415,M12249,-,106,m-Chlorophenylacetic acid,Koerner,Koerner,A3183,-,468,6,4.14,Log unit,25,?C,O=C(O)Cc1cc(Cl)ccc1,aliph. carboxylic acid
CC1=C(OCC(O)=O)C=CC=C1,1878-49-5,R2182416,M9203,-,107,o-Methylphenoxyacetic acid,Koerner,Koerner,A3183,-,468,6,3.23,Log unit,25,?C,O=C(O)COc1c(cccc1)C,aliph. carboxylic acid
OC(=O)COC1=CC=CC(=C1)C#N,1879-58-9,R2182417,M11445,-,108,m-Cyanophenoxyacetic acid,Koerner,Koerner,A3183,-,468,6,3.03,Log unit,25,?C,O=C(O)COc1cc(C#N)ccc1,aliph. carboxylic acid
OC(=O)COC1=C(Br)C=CC=C1,1879-56-7,R2182418,M618,-,109,o-Bromophenoxyacetic acid,Koerner,Koerner,A3183,-,468,6,3.13,Log unit,25,?C,O=C(O)COc1c(Br)cccc1,aliph. carboxylic acid
COC1=CC=CC(OCC(O)=O)=C1,2088-24-6,R2182419,M146,-,110,m-Methoxyphenoxyacetic acid,Koerner,Koerner,A3183,-,468,6,3.14,Log unit,25,?C,O=C(O)COc1cc(ccc1)OC,aliph. carboxylic acid
OC(=O)CCCCC1=CC=CC=C1,2270-20-4,R2182420,M1148,-,111,5-PHENYLPENTANOIC ACID,Koerner,Koerner,A3183,-,468,6,4.88,Log unit,20,?C,O=C(O)CCCCc1ccccc1,aliph. carboxylic acid
OC(=O)COC1=CC=CC2=C1C=CC=C2,2976-75-2,R2182421,M27641,-,112,(1-NAPHTHALENYLOXY)-ACETIC ACID,Koerner,Koerner,A3183,-,468,6,3.2,Log unit,,-,O=C(O)COc1c2c(ccc1)cccc2,aliph. carboxylic acid
OC(=O)CN1C(=O)SC2=CC=CC(Cl)=C12,5/6/13,R2182422,M4205,-,113,benazolin,Koerner,Koerner,A3183,-,468,6,3.04,Log unit,,-,O=C(O)Cn1c2c(Cl)cccc2sc1=O,aliph. carboxylic acid
OC(=O)CC1CCCCC1,5292-21-7,R2182423,M30044,-,114,CYCLOHEXYLACETIC ACID,Koerner,Koerner,A3183,-,468,6,4.8,Log unit,,-,O=C(O)Cc1ccccc1,aliph. carboxylic acid
OC(=O)COC1=C(O)C=CC=C1,11/4/24,R2182424,M6378,-,115,o-Hydroxyphenoxyacetic acid,Koerner,Koerner,A3183,-,468,6,3.02,Log unit,25,?C,O=C(O)COc1c(cccc1)O,aliph. carboxylic acid
COC1=CC=C(C=C1)[C@@H](O)C(O)=O,10502-44-0,R2182425,M130901,-,116,"BENZENEACETIC ACID, _-HYDROXY-4-METHOXY-",Koerner,Koerner,A3183,-,468,6,3.42,Log unit,25,?C,O=C(O)C(c1ccc(OC)cc1)O,aliph. carboxylic acid
CCC1=CC=C(CC(O)=O)C=C1,14387-10-1,R2182426,M33301,-,117,4-ETHYL-BENZENEACETIC ACID,Koerner,Koerner,A3183,-,468,6,4.37,Log unit,25,?C,O=C(O)Cc1ccc(cc1)CC,aliph. carboxylic acid
OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1,15307-86-5,R2182427,M1847,-,118,Diclofenac,Koerner,Koerner,A3183,-,468,6,4.15,Log unit,,-,O=C(O)Cc1c(Nc2c(Cl)cccc2Cl)cccc1,aliph. carboxylic acid
CC(C)CC1=CC=C(C=C1)[C@@H](C)C(O)=O,15687-27-1,R2182428,M3743,-,119,Ibuprofen,Koerner,Koerner,A3183,-,468,6,4.45,Log unit,,-,O=C(O)C(c1ccc(CC(C)C)cc1)C,aliph. carboxylic acid
C[C@H](OC1=C(C)C=C(Cl)C=C1)C(O)=O,16484-77-8,R2182429,M130903,-,120,Mecoprop-P,Koerner,Koerner,A3183,-,468,6,3.68,Log unit,20,?C,O=C(O)C(Oc1c(cc(Cl)cc1)C)C,aliph. carboxylic acid
OC(=O)CCOC1=CC=CC2=C1C=CC=C2,16563-41-0,R2182430,M33884,-,121,3-(1-NAPHTHALENYLOXY)-PROPANOIC ACID,Koerner,Koerner,A3183,-,468,6,4,Log unit,,-,O=C(O)CCOc1c2c(ccc1)cccc2,aliph. carboxylic acid
OC(=O)CC1=C(N=C(S1)C1=CC=CC=C1)C1=CC=C(Cl)C=C1,18046-21-4,R2182431,M34359,-,122,FENTIAZAC,Koerner,Koerner,A3183,-,468,6,3.6,Log unit,,-,O=C(O)Cc1c(c2ccc(Cl)cc2)nc(s1)c1ccccc1,aliph. carboxylic acid
OC(=O)CC1=C(I)C=CC=C1,18698-96-9,R2182432,M34526,-,123,2-IODO-BENZENEACETIC ACID,Koerner,Koerner,A3183,-,468,6,4.04,Log unit,25,?C,O=C(O)Cc1c(I)cccc1,aliph. carboxylic acid
CCC[C@@H](CC)C(O)=O,20225-24-5,R2182433,M130904,-,124,2-ETHYLPENTANOIC ACID,Koerner,Koerner,A3183,-,468,6,4.71,Log unit,18,?C,O=C(O)C(CCC)CC,aliph. carboxylic acid
C[C@H](C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,22071-15-4,R2182434,M2042,-,125,Ketoprofen,Koerner,Koerner,A3183,-,468,6,4.45,Log unit,,-,O=C(O)C(C)c1cc(ccc1)C(=O)c1ccccc1,aliph. carboxylic acid
OC(=O)CC1=CC(Cl)=C(OCC=C)C=C1,22131-79-9,R2182435,M410,-,126,ALCOFENAC,Koerner,Koerner,A3183,-,468,6,4.29,Log unit,,-,O=C(O)Cc1ccc(c(Cl)c1)OCC=C,aliph. carboxylic acid
COC1=CC2=C(C=C1)C=C(C=C2)[C@@H](C)C(O)=O,22204-53-1,R2182436,M1494,-,127,naprosyn,Koerner,Koerner,A3183,-,468,6,4.15,Log unit,,-,O=C(O)C(c1cc2c(cc(OC)cc2)cc1)C,aliph. carboxylic acid
C[C@@H](C(O)=O)C1=CC=CC(OC2=CC=CC=C2)=C1,31879-05-7,R2182437,M130905,-,128,fenoprofen,Koerner,Koerner,A3183,-,468,6,4.5,Log unit,,-,O=C(O)C(c1cc(Oc2ccccc2)ccc1)C,aliph. carboxylic acid
CC(C)(C)C1=CC=C(CC(O)=O)C=C1,32857-63-9,R2182438,M37796,-,129,"4-(1,1-DIMETHYLETHYL)-BENZENEACETIC ACID",Koerner,Koerner,A3183,-,468,6,4.42,Log unit,25,?C,O=C(O)Cc1ccc(cc1)C(C)(C)C,aliph. carboxylic acid
OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1,36330-85-5,R2182439,M14278,-,130,Fenbufen,Koerner,Koerner,A3183,-,468,6,4.51,Log unit,,-,O=C(O)CCC(=O)c1ccc(cc1)c1ccccc1,aliph. carboxylic acid
CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C\C1=CC=C(C=C1)[S@](C)=O,38194-50-2,R2182440,M130906,-,131,Sulindac,Koerner,Koerner,A3183,-,468,6,4.7,Log unit,,-,O=C(O)CC1=C(C(=Cc2ccc(cc2)S(=O)C)c2c1cc(F)cc2)C,aliph. carboxylic acid
C[C@@H](C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1,40828-46-4,R2182441,M130907,-,132,Suprofen,Koerner,Koerner,A3183,-,468,6,3.91,Log unit,,-,O=C(O)C(c1ccc(C(=O)c2sccc2)cc1)C,aliph. carboxylic acid
C[C@H](OC1=CC=C(OC2=C(Cl)C=C(Cl)C=C2)C=C1)C(O)=O,40843-25-2,R2182442,M130908,-,133,DICLOFOP,Koerner,Koerner,A3183,-,468,6,3.43,Log unit,,-,O=C(O)C(Oc1ccc(Oc2c(Cl)cc(cc2)Cl)cc1)C,aliph. carboxylic acid
OC(=O)CC1=CN(N=C1C1=CC=C(Cl)C=C1)C1=CC=CC=C1,53808-88-1,R2182443,M40352,-,134,Lonazolac,Koerner,Koerner,A3183,-,468,6,4.3,Log unit,,-,O=C(O)Cc1c(c2ccc(Cl)cc2)nn(c1)c1ccccc1,aliph. carboxylic acid
OC(=O)COC1=NC(Cl)=C(Cl)C=C1Cl,55335-06-3,R2182444,M9650,-,135,TRICLOPYR,Koerner,Koerner,A3183,-,468,6,2.68,Log unit,,-,O=C(O)COc1nc(Cl)c(cc1Cl)Cl,aliph. carboxylic acid
OC(=O)CC1=CC2=C(C=C1)C(=O)C1=CC=CC=C1CS2,55863-26-8,R2182445,M61798,-,136,TIOPINAC,Koerner,Koerner,A3183,-,468,6,3.71,Log unit,,-,O=C(O)Cc1cc2SCc3c(C(=O)c2cc1)cccc3,aliph. carboxylic acid
C[C@@H](N(C(=O)C1=CC=CC=C1)C1=CC(Cl)=C(F)C=C1)C(O)=O,58667-63-3,R2182446,M13733,-,137,Flamprop,Koerner,Koerner,A3183,-,468,6,3.72,Log unit,20,?C,O=C(O)C(N(c1cc(Cl)c(F)cc1)C(=O)c1ccccc1)C,aliph. carboxylic acid
C[C@H](OC1=CC=C(OC2=NC=C(C=C2)C(F)(F)F)C=C1)C(O)=O,69335-91-7,R2182447,M13839,-,138,Fluazifop,Koerner,Koerner,A3183,-,468,6,3.12,Log unit,20,?C,O=C(O)C(Oc1ccc(Oc2ncc(C(F)(F)F)cc2)cc1)C,aliph. carboxylic acid
C[C@H](OC1=CC=C(OC2=NC=C(C=C2Cl)C(F)(F)F)C=C1)C(O)=O,69806-34-4,R2182448,M130910,-,139,HALOXYFOP,Koerner,Koerner,A3183,-,468,6,2.9,Log unit,,-,O=C(O)C(Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1)C,aliph. carboxylic acid
OC(=O)[C@@H]1CCN2C1=CC=C2C(=O)C1=CC=CC=C1,74103-06-3,R2182449,M8387,-,140,Ketorolac,Koerner,Koerner,A3183,-,468,6,3.49,Log unit,,-,O=C(O)C1c2n(c(cc2)C(=O)c2ccccc2)CC1,aliph. carboxylic acid
OC(=O)COC1=CC(=C(Cl)C=C1)[N+]([O-])=O,89894-13-3,R2182450,M46286,-,141,4-chloro-3-nitro-phenoxyacetic acid,Koerner,Koerner,A3183,-,468,6,2.96,Log unit,25,?C,O=C(O)COc1ccc(c([N+](=O)[O-])c1)Cl,aliph. carboxylic acid
OC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1,104273-73-6,R2182451,M46949,-,142,TRINEXAPAC,Koerner,Koerner,A3183,-,468,6,5.32,Log unit,,-,O=C(O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1,aliph. carboxylic acid
CC1=CC(=O)OC2=C1C=CC(O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O)=C2,-,R2182452,M76638,-,143,4-Methyl-umbelliferyl b-D-glucuronide,Koerner,Koerner,A3183,-,468,6,2.82,Log unit,25,?C,O=C(O)C1OC(Oc2cc3O=C(O)cc(c3cc2)C)C(O)C(O)C1O,aliph. carboxylic acid
OC(=O)C1=CC=CC(OC2=CC=CC=C2)=C1,3739-38-6,R2182253,M28641,-,43,M-PHENOXYBENZOIC ACID,Koerner,Koerner,A3183,-,464,4,3.92,Log unit,,-,O=C(O)c1cc(Oc2ccccc2)ccc1,benzoic acid (meta/para subs.)
CS(=O)(=O)C1=CC=C(C=C1)C(O)=O,4052-30-6,R2182254,M196,-,44,p-Methylsulfonylbenzoic acid,Koerner,Koerner,A3183,-,464,4,3.64,Log unit,,-,O=C(O)c1ccc(S(=O)(=O)C)cc1,benzoic acid (meta/para subs.)
CCCOC1=CC=C(C=C1)C(O)=O,5438-19-7,R2182255,M30306,-,45,4-PROPOXYBENZOIC ACID,Koerner,Koerner,A3183,-,464,4,4.46,Log unit,20,?C,O=C(O)c1ccc(OCCC)cc1,benzoic acid (meta/para subs.)
NCC(=O)NC1=CC=C(C=C1)C(O)=O,7496-53-9,R2182256,M58874,-,46,4-[(ACETYLAMINO)AMINO]-BENZOIC ACID,Koerner,Koerner,A3183,-,464,4,4.2,Log unit,,-,O=C(O)c1ccc(NC(=O)CN)cc1,benzoic acid (meta/para subs.)
CC1=CC(O)=C(C=C1)C(O)=O,50-85-1,R2182257,M16980,-,1,4-METHYLSALICYLIC ACID,Koerner,Koerner,A3183,-,465,5,3.4,Log unit,25,?C,O=C(O)c1c(O)cc(cc1)C,benzoic acid (ortho subs.)
