"SMILES","CASRN","RECORDID","MOLECULEID","EXTERNALID","N","NAME","NAME","INTRODUCER","MODIFIER","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Temperature","UNIT {Temperature}","Ionizable centre (smiles)","groupsAndICs","AtomNR of IC","IC group given","IC smiles given","MultiGroupDetection","IC group detected","pKa predicted value","UNIT {pKa predicted value}","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","COMMENTS","INCHI_KEY"
"CC(C)OP(S)(=S)OC(C)C","-","R937167","M18616","-","-","di-isopropoxy-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.82","Log unit","1.82","Log unit","25.0","?C","SP(=S)(OC(C)C)OC(C)C","{ps2h=2}","","","","","","","-","","","-","-","SZXCCXFNQHQRGF-UHFFFAOYSA"
"SP(=S)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1","-","R937168","M1050572","-","-","di-p-chlorophenyl-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.79","Log unit","1.79","Log unit","25.0","?C","SP(=S)(c1ccc(Cl)cc1)c1ccc(Cl)cc1","{ps2h=2}","","","","","","","-","","","-","-","AFWYHMUCWGCCQO-UHFFFAOYSA"
"CC(C)COP(S)(=S)OCC(C)C","-","R937169","M54099","-","-","di-butoxy-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.79","Log unit","1.79","Log unit","25.0","?C","SP(=S)(OCC(C)C)OCC(C)C","{ps2h=2}","","","","","","","-","","","-","-","SYFIMIPHNTZHIN-UHFFFAOYSA"
"CCCOP(S)(=S)OCCC","-","R937170","M70968","-","-","di-n-propoxy-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.75","Log unit","1.75","Log unit","25.0","?C","SP(=S)(OCCC)OCCC","{ps2h=2}","","","","","","","-","","","-","-","ZUNFAOLVHKUWCL-UHFFFAOYSA"
"CCCCOP(S)(=S)OCCCC","-","R937171","M26571","-","-","di-n-butoxy-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.83","Log unit","1.83","Log unit","25.0","?C","SP(=S)(OCCCC)OCCCC","{ps2h=2}","","","","","","","-","","","-","-","XPRULOZMJZDZEF-UHFFFAOYSA"
"SP(=S)(C1=CC=CC=C1)C1=CC=CC=C1","-","R937172","M1050573","-","-","di-phenyl-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.75","Log unit","1.75","Log unit","25.0","?C","SP(=S)(c1ccccc1)c1ccccc1","{ps2h=2}","","","","","","","-","","","-","-","CLUOCCWZZAGLPM-UHFFFAOYSA"
"CCCOP(C)(S)=S","-","R937173","M1034330","-","-","ethoxy-methyl-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.74","Log unit","1.74","Log unit","25.0","?C","SP(=S)(C)OCCC","{ps2h=2}","","","","","","","-","","","-","-","VBKJKLILDLFMBE-UHFFFAOYSA"
"CC1=CC=C(C=C1)P(S)(=S)C1=CC=C(C)C=C1","-","R937174","M1050574","-","-","di-p-methylphenyl-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.81","Log unit","1.81","Log unit","25.0","?C","SP(=S)(c1ccc(C)cc1)c1ccc(C)cc1","{ps2h=2}","","","","","","","-","","","-","-","GRDFFMLZUPRMLS-UHFFFAOYSA"
"CCCCOP(C)(S)=S","-","R937175","M1034332","-","-","butoxy-methyl-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.73","Log unit","1.73","Log unit","25.0","?C","SP(=S)(C)OCCCC","{ps2h=2}","","","","","","","-","","","-","-","CQHVOROLVPLSLQ-UHFFFAOYSA"
"CCP(S)(=S)CC","-","R937176","M1034333","-","-","di-n-ethyl-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.71","Log unit","1.71","Log unit","25.0","?C","SP(=S)(CC)CC","{ps2h=2}","","","","","","","-","","","-","-","BKRWCWOGWRFENZ-UHFFFAOYSA"
"CCCP(S)(=S)CCC","-","R937177","M1034334","-","-","di-n-propyl-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.84","Log unit","1.84","Log unit","25.0","?C","SP(=S)(CCC)CCC","{ps2h=2}","","","","","","","-","","","-","-","APCOMOLRCOYWTN-UHFFFAOYSA"
"CCCP(S)(=S)CCC","-","R937178","M1034334","-","-","di-n-butyl-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.79","Log unit","1.79","Log unit","25.0","?C","SP(=S)(CCC)CCC","{ps2h=2}","","","","","","","-","","","-","-","APCOMOLRCOYWTN-UHFFFAOYSA"
"CC(C)P(S)(=S)C(C)C","-","R937179","M1034335","-","-","di-iso-propyl-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.64","Log unit","1.64","Log unit","25.0","?C","SP(=S)(C(C)C)C(C)C","{ps2h=2}","","","","","","","-","","","-","-","YSHTZZFGMXAZTP-UHFFFAOYSA"
"OP(=S)(OC1=CC=CC=C1)OC1=CC=CC=C1","-","R937180","M1050575","-","-","di-phenoxy-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.5","Log unit","1.5","Log unit","25.0","?C","OP(=S)(Oc1ccccc1)Oc1ccccc1","{psoh=2}","","","","","","","-","","","-","-","YDOLGQNXROBHNZ-UHFFFAOYSA"
"CCOP(O)(=S)OCC","-","R937181","M1017763","-","-","di-ethoxy-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.49","Log unit","1.49","Log unit","25.0","?C","OP(=S)(OCC)OCC","{psoh=2}","","","","","","","-","","","-","-","PKUWKAXTAVNIJR-UHFFFAOYSA"
"CC(C)OP(O)(=S)OC(C)C","-","R937182","M1034337","-","-","di-isopropoxy-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.59","Log unit","1.59","Log unit","25.0","?C","OP(=S)(OC(C)C)OC(C)C","{psoh=2}","","","","","","","-","","","-","-","RPSWUJJTYUNDDU-UHFFFAOYSA"
"OP(=S)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1","-","R937183","M1050576","-","-","di-p-chlorophenyl-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.6","Log unit","1.6","Log unit","25.0","?C","OP(=S)(c1ccc(Cl)cc1)c1ccc(Cl)cc1","{psoh=2}","","","","","","","-","","","-","-","JYGJBIUWMZRKKU-UHFFFAOYSA"
"CCC(C)OP(O)(=S)OC(C)CC","-","R937184","M1034339","-","-","di-isobutoxy-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.55","Log unit","1.55","Log unit","25.0","?C","OP(=S)(OC(C)CC)OC(C)CC","{psoh=2}","","","","","","","-","","","-","-","MGBGJYCCTDBBCR-UHFFFAOYSA"
"CCCOP(O)(=S)OCCC","-","R937185","M1034340","-","-","di-n-propoxy-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.55","Log unit","1.55","Log unit","25.0","?C","OP(=S)(OCCC)OCCC","{psoh=2}","","","","","","","-","","","-","-","UHDCVGOIAXQGQQ-UHFFFAOYSA"
"CCCCOP(O)(=S)OCCCC","-","R937186","M79862","-","-","di-n-butoxy-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.65","Log unit","1.65","Log unit","25.0","?C","OP(=S)(OCCCC)OCCCC","{psoh=2}","","","","","","","-","","","-","-","CCLBBCBPHBBKKD-UHFFFAOYSA"
"CCOP(C)(O)=S","-","R937187","M34352","-","-","butoxy-methyl-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.82","Log unit","1.82","Log unit","25.0","?C","OP(=S)(C)OCC","{psoh=2}","","","","","","","-","","","-","-","XXNRHOAJIUSMOQ-UHFFFAOYSA"
"OP(=S)(C1=CC=CC=C1)C1=CC=CC=C1","-","R937188","M1050577","-","-","di-phenyl-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.88","Log unit","1.88","Log unit","25.0","?C","OP(=S)(c1ccccc1)c1ccccc1","{psoh=2}","","","","","","","-","","","-","-","UHFIMVQOGRRZRM-UHFFFAOYSA"
"CCC(C)OP(C)(O)=S","-","R937189","M1034342","-","-","isobutoxy-methyl-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.81","Log unit","1.81","Log unit","25.0","?C","OP(=S)(C)OC(C)CC","{psoh=2}","","","","","","","-","","","-","-","QALCPEWZNMFBPA-UHFFFAOYSA"
"CCCOP(C)(O)=S","-","R937190","M1034343","-","-","methyl-n-propyl-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.87","Log unit","1.87","Log unit","25.0","?C","OP(=S)(C)OCCC","{psoh=2}","","","","","","","-","","","-","-","UCQRNBICPYEKAL-UHFFFAOYSA"
"CCOP(O)(=S)CC","-","R937191","M1034344","-","-","ethyl-ethoxy-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.88","Log unit","1.88","Log unit","25.0","?C","OP(=S)(CC)OCC","{psoh=2}","","","","","","","-","","","-","-","AIJQQTBLBLBZDI-UHFFFAOYSA"
"CCCCOP(C)(O)=S","-","R937192","M1034345","-","-","butoxy-methyl-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.95","Log unit","1.95","Log unit","25.0","?C","OP(=S)(C)OCCCC","{psoh=2}","","","","","","","-","","","-","-","XVXIYRNLQGEXIZ-UHFFFAOYSA"
"CCCP(O)(=S)OCC","-","R937193","M1034346","-","-","ethoxy-n-propyl-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","2.0","Log unit","2.0","Log unit","25.0","?C","OP(=S)(CCC)OCC","{psoh=2}","","","","","","","-","","","-","-","HAAYVVLTAGBXIM-UHFFFAOYSA"
"CCCCP(O)(=S)OCC","-","R937194","M1034347","-","-","n-butyl-ethoxy-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","2.11","Log unit","2.11","Log unit","25.0","?C","OP(=S)(CCCC)OCC","{psoh=2}","","","","","","","-","","","-","-","FZWPBPVKDOQGAM-UHFFFAOYSA"
"CCCCOP(O)(=S)CC","-","R937195","M1034348","-","-","n-butoxy-ethyl-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","2.21","Log unit","2.21","Log unit","25.0","?C","OP(=S)(CC)OCCCC","{psoh=2}","","","","","","","-","","","-","-","OCMLXFJNOBFKIB-UHFFFAOYSA"
"CCCCOP(O)(=S)CC(C)C","-","R937196","M1034349","-","-","n-butoxy-isopropyl-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","2.2","Log unit","2.2","Log unit","25.0","?C","OP(=S)(CC(C)C)OCCCC","{psoh=2}","","","","","","","-","","","-","-","PADHMZIHZJIAEV-UHFFFAOYSA"
"CCP(O)(=S)CC","-","R937197","M1034350","-","-","di-ethyl-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","2.8","Log unit","2.8","Log unit","25.0","?C","OP(=S)(CC)CC","{psoh=2}","","","","","","","-","","","-","-","BPSCHQMKSIMBFY-UHFFFAOYSA"
"CCCP(O)(=S)CCC","-","R937198","M1034351","-","-","di-propyl-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","2.83","Log unit","2.83","Log unit","25.0","?C","OP(=S)(CCC)CCC","{psoh=2}","","","","","","","-","","","-","-","GJVWNRJUNNFTNQ-UHFFFAOYSA"
"CCCCP(O)(=S)CCCC","-","R937199","M1034352","-","-","di-butyl-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","2.91","Log unit","2.91","Log unit","25.0","?C","OP(=S)(CCCC)CCCC","{psoh=2}","","","","","","","-","","","-","-","PBDGFDJXGFNNNU-UHFFFAOYSA"
"CCC(C)P(O)(=S)C(C)CC","-","R937200","M1034353","-","-","di-isobutyl-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","3.17","Log unit","3.17","Log unit","25.0","?C","OP(=S)(C(C)CC)C(C)CC","{psoh=2}","","","","","","","-","","","-","-","XQEINYNXBNQSJF-UHFFFAOYSA"
"CC(C)P(O)(=S)C(C)C","-","R937201","M1034354","-","-","di-ispropyl-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","3.03","Log unit","3.03","Log unit","25.0","?C","OP(=S)(C(C)C)C(C)C","{psoh=2}","","","","","","","-","","","-","-","HPRLTTREMHNWJA-UHFFFAOYSA"
"CC(C)CP(O)(=S)CC(C)C","-","R937202","M1005295","-","-","di-sec-butyl-thiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","3.1","Log unit","3.1","Log unit","25.0","?C","OP(=S)(CC(C)C)CC(C)C","{psoh=2}","","","","","","","-","","","-","-","ILHQSWOQGDNADU-UHFFFAOYSA"
"OC1=CC=C(C([O-])=O)C(O)=C1","-","R937533","M11089","-","-","2,4-dihydroxy-benzoic acid","-","Koerner","charochkina","A5793","-","-","-","9.12","Log unit","9.12","Log unit","25.0","?C","Oc1ccc(C(=O)[O-])c(c1)O","{oh=[0, 10]}","0","oh","O-c(ccc1C(=O)[O-1])cc1O","","","","-","","","-","-","UIAFKZKHHVMJGS-UHFFFAOYSA"
"OC1=CC(=CC(O)=C1[O-])C([O-])=O","-","R937536","M6312","-","-","gallic acid","-","Koerner","charochkina","A5793","-","-","-","12.7","Log unit","12.7","Log unit","25.0","?C","Oc1cc(cc(c1[O-])O)C(=O)[O-]","{oh=[0, 11]}","0","oh","O-c(cc(c1)C(=O)[O-1])c([O-1])c1O","","","","-","","","-","-","LNTHITQWFMADLM-UHFFFAOYSA"
"[NH3+]C(CC1=CC=C(O)C(O)=C1)C([O-])=O","-","R937540","M12590","-","-","3,4-Dihydroxyphenylalanine","-","Koerner","charochkina","A5793","-","-","-","8.7","Log unit","8.7","Log unit","25.0","?C","Oc1ccc(CC([NH3+])C(=O)[O-])cc1O","{oh=[0, 12]}","0","oh","O-c(ccc1CC([N+1])C(=O)[O-1])c(O)c1","","","","-","","","-","-","WTDRDQBEARUVNC-UHFFFAOYSA"
"OC(=O)C1=CC(Cl)=C(O)C(Cl)=C1","-","R937543","M28115","-","-","3,5-Dichloro-4-hydroxy-benzoic acid","-","Koerner","charochkina","A5793","-","-","-","5.97","Log unit","5.97","Log unit","25.0","?C","Oc1c(Cl)cc(cc1Cl)C(=O)O","{co2h=[7], oh=[9]}","9","oh","Cl-c(cc(c1)C(=O)O)c(O)c1Cl","","","","-","","","-","-","AULKDLUOQCUNOK-UHFFFAOYSA"
"OC(=O)C1=CC=C(O)C(Cl)=C1","-","R937544","M28868","-","-","3-chloro-4-hydroxy-benzoic acid","-","Koerner","charochkina","A5793","-","-","-","7.52","Log unit","7.52","Log unit","25.0","?C","Oc1c(Cl)cc(cc1)C(=O)O","{co2h=[7], oh=[9]}","9","oh","Cl-c(cc(c1)C(=O)O)c(O)c1","","","","-","","","-","-","QGNLHMKIGMZKJX-UHFFFAOYSA"
"OO","-","R937553","M6760","-","-","hydroperoxide","-","Koerner","charochkina","A5793","-","-","-","11.9","Log unit","11.9","Log unit","25.0","?C","OO","{oh=[0, 1]}","0","oh","OO","","","","-","","","-","-","MHAJPDPJQMAIIY-UHFFFAOYSA"
"OCCO","-","R937558","M6557","-","-","1,2-ethanediol","-","Koerner","charochkina","A5793","-","-","-","15.55","Log unit","15.55","Log unit","25.0","?C","OCCO","{oh=[0, 3]}","0","oh","OCCO","","","","-","","","-","-","LYCAIKOWRPUZTN-UHFFFAOYSA"
"ON=CC=NO","-","R937570","M21735","-","-","Ethanedial dioxime","-","Koerner","charochkina","A5793","-","-","-","9.075001","Log unit","9.075001","Log unit","25.0","?C","ON=CC=NO","{oh=[0, 5]}","0","oh","ON=CC=NO","","","","-","","","-","-","LJHFIVQEAFAURQ-UHFFFAOYSA"
"ONC(=O)C(=O)NO","-","R937571","M70014","-","-","ethanedihydroxamic acid","-","Koerner","charochkina","A5793","-","-","-","6.935","Log unit","6.935","Log unit","25.0","?C","ONC(=O)C(=O)NO","{nr2=[2, 6], oh=[3, 7]}","3","oh","O=C(NO)C(=O)NO","","","","-","","","-","-","YCOWFDCCOFCZPM-UHFFFAOYSA"
"ONC(=O)C(=O)NO","-","R937572","M70014","-","-","ethanedihydroximic acid","-","Koerner","charochkina","A5793","-","-","-","6.81","Log unit","6.81","Log unit","25.0","?C","ONC(=O)C(=O)NO","{nr2=[2, 6], oh=[3, 7]}","3","oh","O=C(NO)C(=O)NO","","","","-","","","-","-","YCOWFDCCOFCZPM-UHFFFAOYSA"
"CC(O)CO","-","R937578","M2108","-","-","1,2-propanediol","-","Koerner","charochkina","A5793","-","-","-","15.1","Log unit","15.1","Log unit","25.0","?C","OC(CO)C","{oh=[0, 3]}","3","oh","OCC(O)C","","","","-","","","-","-","DNIAPMSPPWPWGF-UHFFFAOYSA"
"OCCCO","-","R937579","M21007","-","-","1,3-PROPANEDIOL","-","Koerner","charochkina","A5793","-","-","-","15.4","Log unit","15.4","Log unit","25.0","?C","OCCCO","{oh=[0, 4]}","4","oh","OCCCO","","","","-","","","-","-","YPFDHNVEDLHUCE-UHFFFAOYSA"
"OCC(O)CO","-","R937581","M8486","-","-","1,2,3-Propanetriol","-","Koerner","charochkina","A5793","-","-","-","14.7","Log unit","14.7","Log unit","25.0","?C","OCC(CO)O","{oh=[0, 3, 5]}","5","oh","OCC(O)CO","","","","-","","","-","-","PEDCQBHIVMGVHV-UHFFFAOYSA"
"OCCCCO","-","R937587","M12215","-","-","1,4-BUTANEDIOL","-","Koerner","charochkina","A5793","-","-","-","15.4","Log unit","15.4","Log unit","25.0","?C","OCCCCO","{oh=[0, 5]}","5","oh","OCCCCO","","","","-","","","-","-","WERYXYBDKMZEQL-UHFFFAOYSA"
"OC1=CC=CC=C1O","-","R937609","M13426","-","-","Pyrocatechine","-","Koerner","charochkina","A5793","-","-","-","9.4","Log unit","9.4","Log unit","25.0","?C","Oc1ccccc1O","{oh=[4, 7]}","4","oh","c(ccc1O)cc1O","","","","-","","","-","-","YCIMNLLNPGFGHC-UHFFFAOYSA"
"OC1=CC(O)=CC=C1","-","R937611","M3218","-","-","Resorcinol","-","Koerner","charochkina","A5793","-","-","-","10.1","Log unit","10.1","Log unit","25.0","?C","Oc1cccc(c1)O","{oh=[4, 7]}","4","oh","c(cc(c1)O)cc1O","","","","-","","","-","-","GHMLBKRAJCXXBS-UHFFFAOYSA"
"OC1=CC=C(O)C=C1","-","R937613","M9153","-","-","Hydroquinone","-","Koerner","charochkina","A5793","-","-","-","10.2","Log unit","10.2","Log unit","25.0","?C","Oc1ccc(cc1)O","{oh=[4, 7]}","4","oh","c(cc(c1)O)c(c1)O","","","","-","","","-","-","QIGBRXMKCJKVMJ-UHFFFAOYSA"
"CC1=C(C)C(O)=C(C)C(C)=C1O","-","R937616","M10672","-","-","Durohydroquinone","-","Koerner","charochkina","A5793","-","-","-","11.55","Log unit","11.55","Log unit","25.0","?C","Oc1c(c(c(O)c(c1C)C)C)C","{oh=[0, 5]}","0","oh","O-c(c(c(c1O)C)C)c(c1C)C","","","","-","","","-","-","SUNVJLYYDZCIIK-UHFFFAOYSA"
"OC1=CC=C(O)C2=CC=CC=C12","-","R937618","M21836","-","-","1,4-Naphthohydroquinone","-","Koerner","charochkina","A5793","-","-","-","9.77","Log unit","9.77","Log unit","25.0","?C","Oc1c2ccccc2c(cc1)O","{oh=[6, 11]}","6","oh","c(ccc1c(c2)O)cc1c(c2)O","","","","-","","","-","-","PCILLCXFKWDRMK-UHFFFAOYSA"
"OC1=CC(O)=CC(O)=C1","-","R937620","M9011","-","-","Phloroglucinol","-","Koerner","charochkina","A5793","-","-","-","9.41","Log unit","9.41","Log unit","25.0","?C","Oc1cc(cc(c1)O)O","{oh=[4, 5, 8]}","4","oh","c(c(cc1O)O)c(c1)O","","","","-","","","-","-","QCDYQQDYXPDABM-UHFFFAOYSA"
"OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O","-","R937621","M6673","-","-","2,2'-methylene-bis-(4-chlorophenol)","-","Koerner","charochkina","A5793","-","-","-","7.9","Log unit","7.9","Log unit","25.0","?C","Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O","{oh=[5, 15]}","5","oh","Cl-c(ccc1O)cc1C-c(cc(Cl)c2)c(O)c2","","","","-","","","-","-","MDNWOSOZYLHTCG-UHFFFAOYSA"
"OCC1=CC(CO)=C(O)C(CO)=C1","-","R937641","M72083","-","-","2,4,6-trimethylolphenol","-","Koerner","charochkina","A5793","-","-","-","9.56","Log unit","9.56","Log unit","25.0","?C","Oc1c(cc(CO)cc1CO)CO","{oh=[0, 6, 8, 12]}","0","oh","O-c(c(cc1CO)CO)c(c1)CO","","","","-","","","-","-","LSYXXLMBRSSBGS-UHFFFAOYSA"
"CC1=CC(CO)=C(O)C=C1","-","R937693","M29287","-","-","2-methylol-4-methyl-phenol","-","Koerner","charochkina","A5793","-","-","-","10.15","Log unit","10.15","Log unit","25.0","?C","Oc1ccc(cc1CO)C","{oh=[3, 6]}","3","oh","c(cc(O)c1CO)c(c1)C","","","","-","","","-","-","ZUVDVLYXIZFDRM-UHFFFAOYSA"
"COC(=O)C1=CC(O)=CC(O)=C1","-","R937764","M9900","-","-","3,5-dihydroxybenzoate-methyl","-","Koerner","charochkina","A5793","-","-","-","9.01","Log unit","9.01","Log unit","25.0","?C","Oc1cc(C(=O)OC)cc(c1)O","{oh=[7, 10]}","7","oh","c1(C(=O)OC)cc(O)cc(O)c1","","","","-","","","-","-","RNVFYQUEEMZKLR-UHFFFAOYSA"
"OCC1=CC=C(O)C(CO)=C1","-","R937776","M72082","-","-","2,4-dimethylolphenol","-","Koerner","charochkina","A5793","-","-","-","9.77","Log unit","9.77","Log unit","25.0","?C","Oc1ccc(CO)cc1CO","{oh=[0, 6, 10]}","0","oh","O-c(ccc1CO)c(c1)CO","","","","-","","","-","-","HOPGWDUYWPMYFB-UHFFFAOYSA"
"CC1=CC(CO)=C(O)C(CO)=C1","-","R937777","M17968","-","-","2,6-Dimethylol-4-methylphenol","-","Koerner","charochkina","A5793","-","-","-","9.92","Log unit","9.92","Log unit","25.0","?C","Oc1c(cc(C)cc1CO)CO","{oh=[0, 7, 11]}","0","oh","O-c(c(cc1C)CO)c(c1)CO","","","","-","","","-","-","KUMMBDBTERQYCG-UHFFFAOYSA"
"COC1=C(O)C(CO)=CC=C1","-","R937807","M29285","-","-","2-Hydroxymethyl-6-methoxy-phenol","-","Koerner","charochkina","A5793","-","-","-","9.97","Log unit","9.97","Log unit","25.0","?C","Oc1c(cccc1CO)OC","{oh=[6, 10]}","6","oh","c(cc(OC)c1O)cc1CO","","","","-","","","-","-","OSZHSESNQIMXMZ-UHFFFAOYSA"
"OC1=CC=CC=C1CC1=CC=CC=C1O","-","R937896","M71345","-","-","2-(2-hydroxybenzyl)-phenol","-","Koerner","charochkina","A5793","-","-","-","7.8","Log unit","7.8","Log unit","25.0","?C","Oc1ccccc1Cc1ccccc1O","{oh=[0, 13]}","0","oh","O-c(ccc1)c(c1)C-c(ccc2)c(O)c2","","","","-","","","-","-","MQCPOLNSJCWPGT-UHFFFAOYSA"
"OC1=C(Cl)C(=O)C(O)=C(Cl)C1=O","-","R937946","M17866","-","-","chloroanilic acid","-","Koerner","charochkina","A5793","-","-","-","3.5","Log unit","3.5","Log unit","25.0","?C","OC1=C(Cl)C(=O)C(=C(C1=O)Cl)O","{oh=[3, 11]}","3","oh","ClC(=C(O)C(=O)C=1Cl)C(=O)C1O","","","","-","","","-","-","IPPWILKGXFOXHO-UHFFFAOYSA"
