href,name,weight,smiles,pKa,pKa source,pKa notes
https://www.drugbank.ca/drugs/DB00380,Dexrazoxane,268.2691,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,2.1,"<span class=""not-available"">Not Available</span>",2.1
https://www.drugbank.ca/drugs/DB01606,Tazobactam,300.291,[H][C@@]12CC(=O)N1[C@@H](C(O)=O)[C@](C)(CN1C=CN=N1)S2(=O)=O,2.1,"<span class=""not-available"">Not Available</span>",2.1
https://www.drugbank.ca/drugs/DB01139,Cefapirin,423.463,[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CSC1=CC=NC=C1)C(O)=O,2.15,"<span class=""not-available"">Not Available</span>",2.15
https://www.drugbank.ca/drugs/DB00130,L-Glutamine,146.1445,N[C@@H](CCC(N)=O)C(O)=O,2.17,MERCK INDEX (1996),2.17
https://www.drugbank.ca/drugs/DB00243,Ranolazine,427.5365,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,2.2,Australian Assessment Report,2.2
https://www.drugbank.ca/drugs/DB00135,Tyrosine,181.1885,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,2.2,"LEHNINGER,A (1975)",2.2 (at 25 °C)
https://www.drugbank.ca/drugs/DB00142,Glutamic acid,147.1293,N[C@@H](CCC(O)=O)C(O)=O,2.23,"KORTUM,G ET AL (1961)",2.23 (at 0 °C)
https://www.drugbank.ca/drugs/DB00134,Methionine,149.211,CSCC[C@H](N)C(O)=O,2.28,ULLMANN VA2:63 (1985),2.28 (at 25 °C)
https://www.drugbank.ca/drugs/DB00190,Carbidopa,226.2292,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,2.3,Konduru N. and Madhuri G. (2014). IJPSR. Vol. 5,2.3
https://www.drugbank.ca/drugs/DB00161,Valine,117.1463,CC(C)[C@H](N)C(O)=O,2.3,"KORTUM,G ET AL (1961)",2.3 (at 13 °C)
https://www.drugbank.ca/drugs/DB00145,Glycine,75.0666,NCC(O)=O,2.37,"KORTUM,G ET AL (1961)",2.37 (at 20 °C)
https://www.drugbank.ca/drugs/DB02362,Aminobenzoic acid,137.136,NC1=CC=C(C=C1)C(O)=O,2.38,"KORTUM,G ET AL (1961)",2.38 (at 25 °C)
https://www.drugbank.ca/drugs/DB00250,Dapsone,248.301,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,2.41,"PERRIN,DD (1965)",2.41
https://www.drugbank.ca/drugs/DB00155,Citrulline,175.1857,N[C@@H](CCCNC(N)=O)C(O)=O,2.43,"KORTUM,G ET AL (1961)",2.43 (at 25 °C)
https://www.drugbank.ca/drugs/DB00119,Pyruvic acid,88.0621,CC(=O)C(O)=O,2.45,"KORTUM,G ET AL (1961)",2.45 (at 25 °C)
https://www.drugbank.ca/drugs/DB11127,Selenious acid,128.97,O[Se](O)=O,2.46,MSDS,2.46
https://www.drugbank.ca/drugs/DB11148,Butamben,193.246,CCCCOC(=O)C1=CC=C(N)C=C1,2.472,Toxnet,2.472
https://www.drugbank.ca/drugs/DB00722,Lisinopril,405.4879,NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O,2.5,MERCK INDEX (1996),2.5 (at 25 °C)
https://www.drugbank.ca/drugs/DB01086,Benzocaine,165.1891,CCOC(=O)C1=CC=C(N)C=C1,2.51,"PERRIN,DD (1965)",2.51 (at 25 °C)
https://www.drugbank.ca/drugs/DB13783,Acemetacin,415.83,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O,2.6,'MSDS',2.6
https://www.drugbank.ca/drugs/DB00879,Emtricitabine,247.247,NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1,2.65,FDA Label,2.65
https://www.drugbank.ca/drugs/DB00766,Clavulanic acid,199.1608,[H][C@@]12CC(=O)N1[C@@H](C(O)=O)\C(O2)=C\CO,2.7,http://wildpro.twycrosszoo.org/S/00Chem/ChComplex/Clavulanic_acid.htm,2.7
https://www.drugbank.ca/drugs/DB00630,Alendronic acid,249.096,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,2.72,MERCK INDEX (1996),2.72 (at 25 °C)
https://www.drugbank.ca/drugs/DB00713,Oxacillin,401.436,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=CC=CC=C1)C(O)=O,2.72,SANGSTER (1994),2.72
https://www.drugbank.ca/drugs/DB01053,Benzylpenicillin,334.39,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O,2.74,MERCK INDEX (1996),2.74 (at 25 °C)
https://www.drugbank.ca/drugs/DB01603,Meticillin,380.415,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(OC)C=CC=C1OC)C(O)=O,2.77,SANGSTER (1994),2.77
https://www.drugbank.ca/drugs/DB01147,Cloxacillin,435.881,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=CC=CC=C1Cl)C(O)=O,2.78,SANGSTER (1994),2.78
https://www.drugbank.ca/drugs/DB04272,Citric acid,192.1235,OC(=O)CC(O)(CC(O)=O)C(O)=O,2.79,"SERJEANT,EP &amp; DEMPSEY,B (1979)",2.79
https://www.drugbank.ca/drugs/DB00417,Phenoxymethylpenicillin,350.39,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COC1=CC=CC=C1)C(O)=O,2.79,SANGSTER (1994),2.79
https://www.drugbank.ca/drugs/DB00881,Quinapril,438.5161,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC=CC=C2C[C@H]1C(O)=O,2.8,Pfizer Canada Monograph,2.8
https://www.drugbank.ca/drugs/DB00936,Salicylic acid,138.1207,OC(=O)C1=CC=CC=C1O,2.97,"SERJEANT,EP &amp; DEMPSEY,B (1979)",2.97
https://www.drugbank.ca/drugs/DB00254,Doxycycline,444.4346,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,3.09,https://www.ncbi.nlm.nih.gov/pubmed/34018,3.09
https://www.drugbank.ca/drugs/DB00123,L-Lysine,146.1876,NCCCC[C@H](N)C(O)=O,3.12,"KORTUM,G ET AL (1961)",3.12 (at 0 °C)
https://www.drugbank.ca/drugs/DB09325,Sodium fluoride,41.9882,[F-].[Na+],3.17,http://foodb.ca/compounds/FDB015440,3.17
https://www.drugbank.ca/drugs/DB01598,Imipenem,299.346,[H][C@]12CC(SCC\N=C\N)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O,3.2,MERCK INDEX (1996),3.2
https://www.drugbank.ca/drugs/DB00807,Proparacaine,294.3892,CCCOC1=C(N)C=C(C=C1)C(=O)OCCN(CC)CC,3.2,"<span class=""not-available"">Not Available</span>",3.2
https://www.drugbank.ca/drugs/DB01138,Sulfinpyrazone,404.482,O=C1C(CCS(=O)C2=CC=CC=C2)C(=O)N(N1C1=CC=CC=C1)C1=CC=CC=C1,3.25,SANGSTER (1994),3.25
https://www.drugbank.ca/drugs/DB01099,Flucytosine,129.0925,NC1=C(F)C=NC(=O)N1,3.26,"BUDAVARI,S ET AL. (1996)",3.26
https://www.drugbank.ca/drugs/DB00595,Oxytetracycline,460.434,[H][C@@]12[C@@H](O)[C@@]3([H])C(C(=O)C4=C(C=CC=C4O)[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C,3.27,"KORTUM,G ET AL (1961)",3.27 (at 25 °C)
https://www.drugbank.ca/drugs/DB00759,Tetracycline,444.4346,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O,3.3,"SERJEANT,EP &amp; DEMPSEY,B (1979)",3.3 (at 25 °C)
https://www.drugbank.ca/drugs/DB02701,Nicotinamide,122.1246,NC(=O)C1=CC=CN=C1,3.35,"PERRIN,DD (1965)",3.35 (at 20 °C)
https://www.drugbank.ca/drugs/DB00829,Diazepam,284.74,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,3.4,MERCK INDEX (1996),3.4
https://www.drugbank.ca/drugs/DB01032,Probenecid,285.359,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,3.4,SANGSTER (1994),3.4
https://www.drugbank.ca/drugs/DB00945,Acetylsalicylic acid,180.1574,CC(=O)OC1=CC=CC=C1C(O)=O,3.5,https://www.fip.org/files/fip/BPS/BCS/Monographs/AcetylsalicylicAcid.pdf,3.5
https://www.drugbank.ca/drugs/DB08826,Deferiprone,139.1519,CN1C=CC(=O)C(O)=C1C,3.5,"<span class=""not-available"">Not Available</span>",3.5
https://www.drugbank.ca/drugs/DB00903,Etacrynic acid,303.138,CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC(O)=O)C=C1,3.5,MERCK INDEX (2001),3.5
https://www.drugbank.ca/drugs/DB00500,Tolmetin,257.2845,CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1,3.5,"<span class=""not-available"">Not Available</span>",3.5
https://www.drugbank.ca/drugs/DB00441,Gemcitabine,263.1981,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,3.6,"<span class=""not-available"">Not Available</span>",3.6
https://www.drugbank.ca/drugs/DB00996,Gabapentin,171.2368,NCC1(CC(O)=O)CCCCC1,3.7,"Bockbrader, H. et. al. 2010",3.7
https://www.drugbank.ca/drugs/DB09053,Ibrutinib,440.507,NC1=NC=NC2=C1C(=NN2[C@@H]1CCCN(C1)C(=O)C=C)C1=CC=C(OC2=CC=CC=C2)C=C1,3.74,FDA Imbruvica review. (2013),3.74
https://www.drugbank.ca/drugs/DB00583,Levocarnitine,161.1989,C[N+](C)(C)C[C@H](O)CC([O-])=O,3.8,"<span class=""not-available"">Not Available</span>",3.8
https://www.drugbank.ca/drugs/DB08828,Vismodegib,421.297,CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,3.8,FDA label ,3.8
https://www.drugbank.ca/drugs/DB00345,Aminohippuric acid,194.1873,NC1=CC=C(C=C1)C(=O)NCC(O)=O,3.83,"<span class=""not-available"">Not Available</span>",3.83
https://www.drugbank.ca/drugs/DB03085,Glycolic acid,76.0514,OCC(O)=O,3.83,"SERJEANT,EP &amp; DEMPSEY,B (1979)",3.83
https://www.drugbank.ca/drugs/DB04398,Lactic acid,90.0779,CC(O)C(O)=O,3.86,"KORTUM,G ET AL (1961)",3.86 (at 20 °C)
https://www.drugbank.ca/drugs/DB00870,Suprofen,260.308,CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1,3.91,MERCK INDEX (1996),3.91
https://www.drugbank.ca/drugs/DB09299,Tenofovir alafenamide,476.474,CC(C)OC(=O)[C@H](C)N[P@](=O)(CO[C@H](C)CN1C=NC2=C(N)N=CN=C12)OC1=CC=CC=C1,3.96,Product monograph. Gilead Sciences Canada,3.96
https://www.drugbank.ca/drugs/DB06403,Ambrisentan,378.428,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,4,# FDA Label,4
https://www.drugbank.ca/drugs/DB00982,Isotretinoin,300.4351,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C\C(O)=O,4,https://www.rochecanada.com/content/dam/rochexx/roche-ca/products/ConsumerInformation/MonographsandPublicAdvisories/Accutane/Accutane_PM_E.pdf,~4
https://www.drugbank.ca/drugs/DB00814,Meloxicam,351.401,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,4.08,https://www.chemicalbook.com/ChemicalProductProperty_US_CB2191355.aspx,4.08
https://www.drugbank.ca/drugs/DB00257,Clotrimazole,344.837,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,4.1,http://www.ijpsonline.com/articles/improvement-of-solubility-and-dissolution-properties-of-clotrimazole-by-solid-dispersions-and-inclusion-complexes.pdf,4.1
https://www.drugbank.ca/drugs/DB00173,Adenine,135.1267,NC1=C2NC=NC2=NC=N1,4.15,"KORTUM,G ET AL (1961)",4.15 (at 25 °C)
https://www.drugbank.ca/drugs/DB00586,Diclofenac,296.149,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,4.15,SANGSTER (1994),4.15
https://www.drugbank.ca/drugs/DB00788,Naproxen,230.2592,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,4.15,SANGSTER (1994),4.15
https://www.drugbank.ca/drugs/DB03793,Benzoic acid,122.123,OC(=O)C1=CC=CC=C1,4.19,"LIDE,DR (1996)",4.19 (at 25 °C)
https://www.drugbank.ca/drugs/DB00784,Mefenamic acid,241.2851,CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1,4.2,SANGSTER (1994),4.2
https://www.drugbank.ca/drugs/DB00175,Pravastatin,424.5277,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,4.2,Dinnekere V. et al. 2016. Scientifica.,4.2
https://www.drugbank.ca/drugs/DB00139,Succinic acid,118.088,OC(=O)CCC(O)=O,4.21,"DEAN,JA (1987)",4.21 (at 25 °C)
https://www.drugbank.ca/drugs/DB00275,Olmesartan,446.5016,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,4.3,FDA Chemical report ,4.3
https://www.drugbank.ca/drugs/DB00991,Oxaprozin,293.3166,OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1,4.3,"<span class=""not-available"">Not Available</span>",4.3
https://www.drugbank.ca/drugs/DB00513,Aminocaproic acid,131.1729,NCCCCCC(O)=O,4.43,"KORTUM,G ET AL (1961)",4.43 (at 25 °C)
https://www.drugbank.ca/drugs/DB01009,Ketoprofen,254.2806,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,4.45,SANGSTER (1994),4.45
https://www.drugbank.ca/drugs/DB00573,Fenoprofen,242.2699,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1,4.5,"<span class=""not-available"">Not Available</span>",4.5
https://www.drugbank.ca/drugs/DB00328,Indomethacin,357.788,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,4.5,"BUDAVARI,S ET AL. (1989)",4.5
https://www.drugbank.ca/drugs/DB00812,Phenylbutazone,308.3743,CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,4.5,"SERJEANT,EP &amp; DEMPSEY,B (1979)",4.5
https://www.drugbank.ca/drugs/DB00548,Azelaic acid,188.2209,OC(=O)CCCCCCCC(O)=O,4.55,"KORTUM,G ET AL (1961)",4.55 (at 25 °C)
https://www.drugbank.ca/drugs/DB00350,Minoxidil,209.2483,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,4.61,MERCK INDEX (2001),4.61
https://www.drugbank.ca/drugs/DB00730,Thiabendazole,201.248,N1C2=CC=CC=C2N=C1C1=CSC=N1,4.64,"CHAMBERLAIN,K ET AL. (1996)",4.64 (at 25 °C)
https://www.drugbank.ca/drugs/DB00749,Etodolac,287.3535,CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1,4.65,"<span class=""not-available"">Not Available</span>",4.65
https://www.drugbank.ca/drugs/DB00126,Ascorbic acid,176.1241,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,4.7,"KORTUM,G ET AL (1961)",4.7 (at 10 °C)
https://www.drugbank.ca/drugs/DB00563,Methotrexate,454.4393,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,4.7,SANGSTER (1994),4.7
https://www.drugbank.ca/drugs/DB00605,Sulindac,356.411,CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O,4.7,MERCK INDEX (1996),4.7
https://www.drugbank.ca/drugs/DB00177,Valsartan,435.5188,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,4.73,http://www.japsonline.com/admin/php/uploads/54_pdf.pdf,4.73
https://www.drugbank.ca/drugs/DB00627,Niacin,123.1094,OC(=O)C1=CN=CC=C1,4.75,"DEAN,JA (1985)",4.75 (at 25 °C)
https://www.drugbank.ca/drugs/DB03166,Acetic acid,60.052,CC(O)=O,4.76,"SERJEANT,EP &amp; DEMPSEY,B (1979)",4.76 (at 25 °C)
https://www.drugbank.ca/drugs/DB05990,Obeticholic acid,420.6252,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)[C@H](CC)[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,4.76,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB92484652.htm,4.76±0.10
https://www.drugbank.ca/drugs/DB06626,Axitinib,386.47,CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1,4.8,From FDA label.,4.8
https://www.drugbank.ca/drugs/DB00475,Chlordiazepoxide,299.755,CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=[N+]([O-])C1,4.8,MERCK INDEX (1996),4.8
https://www.drugbank.ca/drugs/DB00313,Valproic acid,144.2114,CCCC(CCC)C(O)=O,4.8,FDA label (2006),4.8
https://www.drugbank.ca/drugs/DB04813,Bithionol,356.052,OC1=C(SC2=C(O)C(Cl)=CC(Cl)=C2)C=C(Cl)C=C1Cl,4.82,MERCK INDEX (1996),4.82
https://www.drugbank.ca/drugs/DB00770,Alprostadil,354.487,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,4.85,"AVDEEF,A ET AL. (1995)",4.85 (at 25 °C)
https://www.drugbank.ca/drugs/DB03766,Propanoic acid,74.0785,CCC(O)=O,4.88,"SERJEANT,EP &amp; DEMPSEY,B (1979)",4.88
https://www.drugbank.ca/drugs/DB00669,Sumatriptan,295.4,CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1,4.9,"Sumatriptan Tablets, USP monograph",4.9
https://www.drugbank.ca/drugs/DB00756,Hexachlorophene,406.904,OC1=C(CC2=C(O)C(Cl)=CC(Cl)=C2Cl)C(Cl)=C(Cl)C=C1Cl,4.95,"HANSCH,C &amp; LEO,AJ (1985)",4.95
https://www.drugbank.ca/drugs/DB02659,Cholic Acid,408.5714,[H][C@@](C)(CCC(O)=O)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@]([H])(O)C[C@]4([H])C[C@]([H])(O)CC[C@]4(C)[C@@]3([H])C[C@]([H])(O)[C@]12C,4.98,"SERJEANT,EP &amp; DEMPSEY,B (1979)",4.98 (at 20 °C)
https://www.drugbank.ca/drugs/DB01424,Aminophenazone,231.2936,CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,5,SANGSTER (1994),5
https://www.drugbank.ca/drugs/DB00263,Sulfisoxazole,267.304,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,5,"<span class=""not-available"">Not Available</span>",5
https://www.drugbank.ca/drugs/DB00682,Warfarin,308.3279,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,5,"UFER, M (2005)",5
https://www.drugbank.ca/drugs/DB11145,Oxyquinoline,145.158,OC1=CC=CC2=C1N=CC=C2,5.017,Andersen A: Final amended report on the safety assessment of oxyquinoline and oxyquinoline sulfate as used in cosmetics. Int J Toxicol. 2006;25 Suppl 1:1-9.,5.017
https://www.drugbank.ca/drugs/DB09078,Lenvatinib,426.86,COC1=C(C=C2C(OC3=CC=C(NC(=O)NC4CC4)C(Cl)=C3)=CC=NC2=C1)C(N)=O,5.05,FDA Label,5.05
https://www.drugbank.ca/drugs/DB01438,Phenazopyridine,213.2385,NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1,5.05,https://pdfs.semanticscholar.org/182c/23f8f9a5935f172b01241dd7c06d8d72b6f3.pdf,5.05
https://www.drugbank.ca/drugs/DB12466,Favipiravir,157.104,NC(=O)C1=NC(F)=CN=C1O,5.1,https://www.pmda.go.jp/files/000210319.pdf,5.1
https://www.drugbank.ca/drugs/DB09216,Tolfenamic acid,261.704,CC1=C(Cl)C=CC=C1NC1=CC=CC=C1C(O)=O,5.11,Mefenamic acid: analytical profile. (2005),5.11
https://www.drugbank.ca/drugs/DB00672,Chlorpropamide,276.74,CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1,5.13,"LIPINSKI,CA ET AL. (1991)",5.13
https://www.drugbank.ca/drugs/DB01124,Tolbutamide,270.348,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,5.16,SANGSTER (1994),5.16
https://www.drugbank.ca/drugs/DB01132,Pioglitazone,356.439,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,5.19,"Al-Majed, A. et. al.",5.19
https://www.drugbank.ca/drugs/DB00552,Pentostatin,268.2691,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC[C@H]2O,5.2,MERCK INDEX (1996),5.2
https://www.drugbank.ca/drugs/DB01050,Ibuprofen,206.2808,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,5.3,"Bushra and Aslam. Oman Med. 25, 3. (2010)",5.3
https://www.drugbank.ca/drugs/DB03017,Lauric acid,200.3178,CCCCCCCCCCCC(O)=O,5.3,"SERJEANT,EP &amp; DEMPSEY,B (1979)",5.3 (at 20 °C)
https://www.drugbank.ca/drugs/DB14018,Bromotheophylline,259.063,CN1C2=C(NC(Br)=N2)C(=O)N(C)C1=O,5.45,"Brittain H. Profiles of drug substances, excipients and related methodology. (2007)",5.45
https://www.drugbank.ca/drugs/DB00678,Losartan,422.911,CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,5.5,MERCK INDEX (1996); approx.,5.5
https://www.drugbank.ca/drugs/DB11921,Deflazacort,441.524,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@]([H])(O)C[C@]3(C)[C@@]1(N=C(C)O2)C(=O)COC(C)=O,5.52,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2017/208684,208685Orig1s000ClinPharmR.pdf",5.52
https://www.drugbank.ca/drugs/DB08864,Rilpivirine,366.4185,CC1=CC(\C=C\C#N)=CC(C)=C1NC1=CC=NC(NC2=CC=C(C=C2)C#N)=N1,5.6,"Usach, et al. J Int AIDS Soc. 16(1): 18567. (2013)",5.6
https://www.drugbank.ca/drugs/DB00156,Threonine,119.1192,C[C@@H](O)[C@H](N)C(O)=O,5.6,"<span class=""not-available"">Not Available</span>",5.6
https://www.drugbank.ca/drugs/DB00425,Zolpidem,307.3895,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1,5.65,http://foodb.ca/compounds/FDB023594,"Strongest basic, 5.65"
https://www.drugbank.ca/drugs/DB00555,Lamotrigine,256.091,NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1,5.7,FDA label,5.7
https://www.drugbank.ca/drugs/DB00291,Chlorambucil,304.212,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,5.75,"HANSCH,C &amp; LEO,AJ (1987)",5.75
https://www.drugbank.ca/drugs/DB01067,Glipizide,445.535,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,5.9,"PANTEN,U ET AL. (1989)",5.9
